turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,5.154639175257731,3.361344537815126,1.0,0.75,5,4
2,8.24742268041237,6.722689075630252,0.75,0.5,8,8
3,9.278350515463918,8.403361344537815,0.2,0.25,9,10
4,10.309278350515463,9.243697478991598,0.2,0.125,10,11
5,12.371134020618557,10.92436974789916,0.3333333333333333,0.2222222222222222,12,13
6,13.402061855670103,11.76470588235294,0.16666666666666666,0.1111111111111111,13,14
7,14.432989690721648,12.605042016806722,0.16666666666666666,0.1111111111111111,14,15
8,15.463917525773196,13.445378151260504,0.14285714285714285,0.1,15,16
9,16.49484536082474,14.285714285714285,0.125,0.1,16,17
10,17.525773195876287,15.126050420168067,0.14285714285714285,0.1,17,18
11,18.556701030927837,15.966386554621847,0.14285714285714285,0.1,18,19
12,19.587628865979383,16.80672268907563,0.125,0.1,19,20
13,20.618556701030926,17.647058823529413,0.1111111111111111,0.1,20,21
14,21.649484536082475,18.487394957983195,0.14285714285714285,0.1,21,22
15,22.68041237113402,19.327731092436977,0.125,0.1,22,23
16,23.711340206185564,20.168067226890756,0.125,0.1,23,24
17,24.742268041237114,21.008403361344538,0.1,0.1,24,25
18,24.742268041237114,21.008403361344538,0.0,0.0,24,25
19,25.773195876288657,21.84873949579832,0.125,0.1,25,26
20,26.804123711340207,22.689075630252102,0.1111111111111111,0.1,26,27
21,27.835051546391753,23.52941176470588,0.1111111111111111,0.1,27,28
22,28.865979381443296,24.369747899159663,0.125,0.1,28,29
23,29.896907216494846,25.210084033613445,0.1111111111111111,0.1,29,30
24,30.927835051546392,26.05042016806723,0.1,0.1,30,31
25,30.927835051546392,26.89075630252101,0.0,0.1,30,32
26,30.927835051546392,26.89075630252101,0.0,0.0,30,32
27,30.927835051546392,26.89075630252101,0.0,0.0,30,32
28,30.927835051546392,26.89075630252101,0.0,0.0,30,32
29,31.958762886597935,27.73109243697479,0.1111111111111111,0.1,31,33
30,34.02061855670103,29.411764705882355,0.2222222222222222,0.2,33,35
31,36.08247422680412,31.932773109243694,0.2222222222222222,0.3,35,38
32,38.144329896907216,33.61344537815126,0.2,0.2,37,40
33,41.23711340206185,36.134453781512605,0.3,0.3,40,43
34,42.2680412371134,37.81512605042017,0.125,0.2,41,45
35,43.29896907216495,38.655462184873954,0.125,0.1,42,46
36,44.329896907216494,39.49579831932773,0.125,0.1,43,47
37,46.391752577319586,41.17647058823529,0.2,0.2,45,49
38,47.42268041237113,42.857142857142854,0.125,0.2,46,51
39,48.45360824742268,43.69747899159664,0.125,0.1,47,52
40,48.45360824742268,44.537815126050425,0.0,0.1,47,53
41,48.45360824742268,44.537815126050425,0.0,0.0,47,53
42,48.45360824742268,45.378151260504204,0.0,0.1,47,54
43,48.45360824742268,45.378151260504204,0.0,0.0,47,54
44,48.45360824742268,45.378151260504204,0.0,0.0,47,54
45,48.45360824742268,46.21848739495798,0.0,0.1,47,55
46,49.48453608247423,47.05882352941176,0.125,0.1,48,56
47,50.51546391752577,47.89915966386555,0.1111111111111111,0.1,49,57
48,51.546391752577314,48.739495798319325,0.125,0.1,50,58
49,52.57731958762887,49.57983193277311,0.1,0.1,51,59
50,53.608247422680414,50.42016806722689,0.125,0.1,52,60
51,54.63917525773196,51.26050420168067,0.1111111111111111,0.1,53,61
52,55.670103092783506,52.10084033613446,0.1111111111111111,0.1,54,62
53,56.70103092783505,52.94117647058824,0.1,0.1,55,63
54,57.73195876288659,53.78151260504202,0.125,0.1,56,64
55,58.76288659793815,54.621848739495796,0.1111111111111111,0.1,57,65
56,59.79381443298969,55.46218487394958,0.1111111111111111,0.1,58,66
57,59.79381443298969,55.46218487394958,0.0,0.0,58,66
58,60.824742268041234,56.30252100840336,0.125,0.1,59,67
59,60.824742268041234,57.14285714285714,0.0,0.1,59,68
60,60.824742268041234,57.14285714285714,0.0,0.0,59,68
61,60.824742268041234,57.14285714285714,0.0,0.0,59,68
62,61.855670103092784,57.98319327731093,0.125,0.1,60,69
63,62.88659793814433,58.82352941176471,0.1111111111111111,0.1,61,70
64,63.91752577319587,59.66386554621849,0.1111111111111111,0.1,62,71
65,64.94845360824742,60.50420168067227,0.1,0.1,63,72
66,64.94845360824742,60.50420168067227,0.0,0.0,63,72
67,65.97938144329896,61.34453781512605,0.1111111111111111,0.1,64,73
68,67.0103092783505,62.18487394957983,0.1111111111111111,0.1,65,74
69,68.04123711340206,63.02521008403361,0.1111111111111111,0.1,66,75
70,69.0721649484536,63.86554621848739,0.125,0.1,67,76
71,69.0721649484536,63.86554621848739,0.0,0.0,67,76
72,69.0721649484536,63.86554621848739,0.0,0.0,67,76
73,70.10309278350515,64.70588235294117,0.1111111111111111,0.1,68,77
74,71.1340206185567,65.54621848739495,0.14285714285714285,0.1,69,78
75,72.16494845360825,66.38655462184873,0.1111111111111111,0.1,70,79
76,73.19587628865979,67.22689075630252,0.1111111111111111,0.1,71,80
77,74.22680412371135,68.0672268907563,0.1111111111111111,0.1,72,81
78,74.22680412371135,68.90756302521008,0.0,0.1,72,82
79,74.22680412371135,68.90756302521008,0.0,0.0,72,82
80,74.22680412371135,69.74789915966386,0.0,0.1,72,83
81,74.22680412371135,70.58823529411765,0.0,0.1,72,84
82,74.22680412371135,70.58823529411765,0.0,0.0,72,84
83,74.22680412371135,70.58823529411765,0.0,0.0,72,84
84,74.22680412371135,70.58823529411765,0.0,0.0,72,84
85,74.22680412371135,70.58823529411765,0.0,0.0,72,84
