turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,4.123711340206185,2.5210084033613445,1.0,0.6666666666666666,4,3
2,7.216494845360824,5.042016806722689,0.75,0.6,7,6
3,9.278350515463918,7.563025210084033,0.5,0.5,9,9
4,12.371134020618557,10.084033613445378,0.5,0.375,12,12
5,18.556701030927837,15.126050420168067,0.6666666666666666,0.5454545454545454,18,18
6,23.711340206185564,19.327731092436977,0.5,0.45454545454545453,23,23
7,26.804123711340207,22.689075630252102,0.25,0.3076923076923077,26,27
8,30.927835051546392,26.89075630252101,0.3076923076923077,0.35714285714285715,30,32
9,35.051546391752574,31.932773109243694,0.23529411764705882,0.375,34,38
10,41.23711340206185,36.97478991596639,0.3333333333333333,0.35294117647058826,40,44
11,44.329896907216494,41.17647058823529,0.16666666666666666,0.2631578947368421,43,49
12,47.42268041237113,43.69747899159664,0.16666666666666666,0.15789473684210525,46,52
13,51.546391752577314,47.89915966386555,0.2222222222222222,0.20833333333333334,50,57
14,56.70103092783505,52.94117647058824,0.20833333333333334,0.23076923076923078,55,63
15,61.855670103092784,57.98319327731093,0.2,0.20689655172413793,60,69
16,67.0103092783505,63.86554621848739,0.17857142857142858,0.2413793103448276,65,76
17,71.1340206185567,68.0672268907563,0.13793103448275862,0.18518518518518517,69,81
18,73.19587628865979,71.42857142857143,0.07692307692307693,0.13333333333333333,71,85
19,75.25773195876289,73.10924369747899,0.07692307692307693,0.07407407407407407,73,87
20,78.35051546391753,75.63025210084034,0.1111111111111111,0.10344827586206896,76,90
21,80.41237113402062,78.99159663865547,0.07142857142857142,0.13793103448275862,78,94
22,82.4742268041237,81.5126050420168,0.07142857142857142,0.10714285714285714,80,97
23,82.4742268041237,81.5126050420168,0.0,0.0,80,97
24,85.56701030927834,84.03361344537815,0.12,0.10344827586206896,83,100
25,87.62886597938144,86.5546218487395,0.07407407407407407,0.11538461538461539,85,103
26,90.72164948453609,89.07563025210085,0.10714285714285714,0.1111111111111111,88,106
27,92.78350515463917,91.59663865546219,0.07692307692307693,0.10344827586206896,90,109
28,93.81443298969072,92.43697478991596,0.037037037037037035,0.03571428571428571,91,110
29,94.84536082474226,93.27731092436974,0.03571428571428571,0.038461538461538464,92,111
30,96.90721649484536,94.9579831932773,0.06896551724137931,0.07142857142857142,94,113
31,98.96907216494846,97.47899159663865,0.08333333333333333,0.11538461538461539,96,116
32,100.0,98.31932773109243,0.034482758620689655,0.037037037037037035,97,117
33,100.0,98.31932773109243,0.0,0.0,97,117
34,100.0,99.15966386554622,0.0,0.03571428571428571,97,118
35,100.0,99.15966386554622,0.0,0.0,97,118
36,100.0,99.15966386554622,0.0,0.0,97,118
37,100.0,100.0,0.0,0.034482758620689655,97,119
38,100.0,100.0,0.0,0.0,97,119
39,100.0,100.0,0.0,0.0,97,119
40,100.0,100.0,0.0,0.0,97,119
41,100.0,100.0,0.0,0.0,97,119
42,100.0,100.0,0.0,0.0,97,119
43,100.0,100.0,0.0,0.0,97,119
44,100.0,100.0,0.0,0.0,97,119
45,100.0,100.0,0.0,0.0,97,119
46,100.0,100.0,0.0,0.0,97,119
47,100.0,100.0,0.0,0.0,97,119
48,100.0,100.0,0.0,0.0,97,119
49,100.0,100.0,0.0,0.0,97,119
50,100.0,100.0,0.0,0.0,97,119
51,100.0,100.0,0.0,0.0,97,119
52,100.0,100.0,0.0,0.0,97,119
53,100.0,100.0,0.0,0.0,97,119
54,100.0,100.0,0.0,0.0,97,119
55,100.0,100.0,0.0,0.0,97,119
56,100.0,100.0,0.0,0.0,97,119
57,100.0,100.0,0.0,0.0,97,119
58,100.0,100.0,0.0,0.0,97,119
59,100.0,100.0,0.0,0.0,97,119
60,100.0,100.0,0.0,0.0,97,119
61,100.0,100.0,0.0,0.0,97,119
62,100.0,100.0,0.0,0.0,97,119
63,100.0,100.0,0.0,0.0,97,119
64,100.0,100.0,0.0,0.0,97,119
65,100.0,100.0,0.0,0.0,97,119
66,100.0,100.0,0.0,0.0,97,119
67,100.0,100.0,0.0,0.0,97,119
68,100.0,100.0,0.0,0.0,97,119
69,100.0,100.0,0.0,0.0,97,119
70,100.0,100.0,0.0,0.0,97,119
71,100.0,100.0,0.0,0.0,97,119
72,100.0,100.0,0.0,0.0,97,119
73,100.0,100.0,0.0,0.0,97,119
74,100.0,100.0,0.0,0.0,97,119
75,100.0,100.0,0.0,0.0,97,119
76,100.0,100.0,0.0,0.0,97,119
77,100.0,100.0,0.0,0.0,97,119
78,100.0,100.0,0.0,0.0,97,119
79,100.0,100.0,0.0,0.0,97,119
80,100.0,100.0,0.0,0.0,97,119
81,100.0,100.0,0.0,0.0,97,119
82,100.0,100.0,0.0,0.0,97,119
83,100.0,100.0,0.0,0.0,97,119
84,100.0,100.0,0.0,0.0,97,119
85,100.0,100.0,0.0,0.0,97,119
86,100.0,100.0,0.0,0.0,97,119
87,100.0,100.0,0.0,0.0,97,119
88,100.0,100.0,0.0,0.0,97,119
89,100.0,100.0,0.0,0.0,97,119
90,100.0,100.0,0.0,0.0,97,119
91,100.0,100.0,0.0,0.0,97,119
92,100.0,100.0,0.0,0.0,97,119
93,100.0,100.0,0.0,0.0,97,119
94,100.0,100.0,0.0,0.0,97,119
95,100.0,100.0,0.0,0.0,97,119
96,100.0,100.0,0.0,0.0,97,119
97,100.0,100.0,0.0,0.0,97,119
98,100.0,100.0,0.0,0.0,97,119
99,100.0,100.0,0.0,0.0,97,119
