turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,3.0927835051546393,1.680672268907563,1.0,0.5,3,2
2,5.154639175257731,3.361344537815126,0.6666666666666666,0.5,5,4
3,8.24742268041237,5.88235294117647,0.6,0.5,8,7
4,11.34020618556701,8.403361344537815,0.5,0.42857142857142855,11,10
5,14.432989690721648,10.92436974789916,0.42857142857142855,0.375,14,13
6,18.556701030927837,15.126050420168067,0.4444444444444444,0.45454545454545453,18,18
7,22.68041237113402,19.327731092436977,0.3333333333333333,0.38461538461538464,22,23
8,28.865979381443296,24.369747899159663,0.4,0.375,28,29
9,35.051546391752574,30.252100840336134,0.3333333333333333,0.3684210526315789,34,36
10,39.175257731958766,36.134453781512605,0.23529411764705882,0.3684210526315789,38,43
11,45.36082474226804,42.016806722689076,0.2857142857142857,0.3333333333333333,44,50
12,50.51546391752577,47.05882352941176,0.25,0.2727272727272727,49,56
13,56.70103092783505,52.94117647058824,0.2727272727272727,0.30434782608695654,55,63
14,60.824742268041234,57.98319327731093,0.16666666666666666,0.2608695652173913,59,69
15,64.94845360824742,61.34453781512605,0.16,0.16666666666666666,63,73
16,67.0103092783505,63.02521008403361,0.08695652173913043,0.08,65,75
17,71.1340206185567,67.22689075630252,0.16666666666666666,0.2,69,80
18,73.19587628865979,70.58823529411765,0.08,0.15384615384615385,71,84
19,76.28865979381443,73.10924369747899,0.1111111111111111,0.125,74,87
20,78.35051546391753,76.47058823529412,0.07407407407407407,0.14285714285714285,76,91
21,79.38144329896907,78.15126050420169,0.034482758620689655,0.0625,77,93
22,79.38144329896907,78.15126050420169,0.0,0.0,77,93
23,80.41237113402062,78.99159663865547,0.03571428571428571,0.030303030303030304,78,94
24,81.44329896907216,80.67226890756302,0.03333333333333333,0.058823529411764705,79,96
25,82.4742268041237,81.5126050420168,0.03571428571428571,0.030303030303030304,80,97
26,83.50515463917526,82.35294117647058,0.03225806451612903,0.030303030303030304,81,98
27,84.5360824742268,84.03361344537815,0.03571428571428571,0.058823529411764705,82,100
28,85.56701030927834,84.87394957983193,0.03333333333333333,0.03125,83,101
29,85.56701030927834,84.87394957983193,0.0,0.0,83,101
30,86.5979381443299,86.5546218487395,0.03225806451612903,0.06060606060606061,84,103
31,87.62886597938144,87.39495798319328,0.030303030303030304,0.02857142857142857,85,104
32,89.69072164948454,89.07563025210085,0.05555555555555555,0.05128205128205128,87,106
33,90.72164948453609,89.91596638655463,0.027777777777777776,0.02564102564102564,88,107
34,91.75257731958763,90.75630252100841,0.02702702702702703,0.023809523809523808,89,108
35,93.81443298969072,92.43697478991596,0.05555555555555555,0.04878048780487805,91,110
36,94.84536082474226,93.27731092436974,0.02564102564102564,0.02564102564102564,92,111
37,95.87628865979381,94.11764705882352,0.02564102564102564,0.023255813953488372,93,112
38,96.90721649484536,94.9579831932773,0.022727272727272728,0.025,94,113
39,97.9381443298969,95.7983193277311,0.024390243902439025,0.022727272727272728,95,114
40,97.9381443298969,95.7983193277311,0.0,0.0,95,114
41,98.96907216494846,96.63865546218487,0.024390243902439025,0.022222222222222223,96,115
42,100.0,97.47899159663865,0.02631578947368421,0.022222222222222223,97,116
43,100.0,97.47899159663865,0.0,0.0,97,116
44,100.0,97.47899159663865,0.0,0.0,97,116
45,100.0,98.31932773109243,0.0,0.022727272727272728,97,117
46,100.0,98.31932773109243,0.0,0.0,97,117
47,100.0,98.31932773109243,0.0,0.0,97,117
48,100.0,99.15966386554622,0.0,0.021739130434782608,97,118
49,100.0,99.15966386554622,0.0,0.0,97,118
50,100.0,99.15966386554622,0.0,0.0,97,118
51,100.0,99.15966386554622,0.0,0.0,97,118
52,100.0,99.15966386554622,0.0,0.0,97,118
53,100.0,100.0,0.0,0.021739130434782608,97,119
54,100.0,100.0,0.0,0.0,97,119
55,100.0,100.0,0.0,0.0,97,119
56,100.0,100.0,0.0,0.0,97,119
57,100.0,100.0,0.0,0.0,97,119
58,100.0,100.0,0.0,0.0,97,119
59,100.0,100.0,0.0,0.0,97,119
60,100.0,100.0,0.0,0.0,97,119
61,100.0,100.0,0.0,0.0,97,119
62,100.0,100.0,0.0,0.0,97,119
63,100.0,100.0,0.0,0.0,97,119
64,100.0,100.0,0.0,0.0,97,119
65,100.0,100.0,0.0,0.0,97,119
66,100.0,100.0,0.0,0.0,97,119
67,100.0,100.0,0.0,0.0,97,119
68,100.0,100.0,0.0,0.0,97,119
69,100.0,100.0,0.0,0.0,97,119
70,100.0,100.0,0.0,0.0,97,119
71,100.0,100.0,0.0,0.0,97,119
72,100.0,100.0,0.0,0.0,97,119
73,100.0,100.0,0.0,0.0,97,119
74,100.0,100.0,0.0,0.0,97,119
75,100.0,100.0,0.0,0.0,97,119
76,100.0,100.0,0.0,0.0,97,119
77,100.0,100.0,0.0,0.0,97,119
78,100.0,100.0,0.0,0.0,97,119
79,100.0,100.0,0.0,0.0,97,119
80,100.0,100.0,0.0,0.0,97,119
81,100.0,100.0,0.0,0.0,97,119
82,100.0,100.0,0.0,0.0,97,119
83,100.0,100.0,0.0,0.0,97,119
84,100.0,100.0,0.0,0.0,97,119
85,100.0,100.0,0.0,0.0,97,119
86,100.0,100.0,0.0,0.0,97,119
87,100.0,100.0,0.0,0.0,97,119
88,100.0,100.0,0.0,0.0,97,119
89,100.0,100.0,0.0,0.0,97,119
90,100.0,100.0,0.0,0.0,97,119
91,100.0,100.0,0.0,0.0,97,119
92,100.0,100.0,0.0,0.0,97,119
93,100.0,100.0,0.0,0.0,97,119
94,100.0,100.0,0.0,0.0,97,119
95,100.0,100.0,0.0,0.0,97,119
96,100.0,100.0,0.0,0.0,97,119
97,100.0,100.0,0.0,0.0,97,119
98,100.0,100.0,0.0,0.0,97,119
99,100.0,100.0,0.0,0.0,97,119
