agent_id,start_pos,path
0,131,"['131', '129', '127', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20']"
1,131,"['131', '129', '131', '129', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20']"
2,131,"['131', '129', '139', '129', '131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '127', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '127', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3', '20', '3']"
3,131,"['131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '20', '3', '20', '3', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '20', '127', '125', '153', '151', '119', '120', '117', '115', '107', '105', '101', '10', 'Lake', '10', '101', '103', '109', '111', '115', '107', '105', '263', '105', '101', '10', 'Lake', '10', '101', '103', '109', '111', '109', '103', '101', '10', 'Lake', '10', '101', '103', '101', '105', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '103', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '103', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '103']"
4,131,"['131', '129', '131', '129', '139', '129', '131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '125', '153', '151', '119', '120', '117', '115', '107', '105', '263', '259', '257', '120', '117', '115', '107', '105', '263', '105', '107', '115', '111', '109', '103', '101', '105', '101', '10', 'Lake', '10', '101', '103', '109', '103', '101', '105', '107', '115', '107', '105', '263', '105', '101', '103', '109', '111', '109', '103', '109', '111', '109', '103', '101', '105', '101', '103', '109', '111', '109', '103', '109', '111', '109', '103', '101', '103', '101', '10', 'Lake', '10', '101', '103', '101', '105', '101', '103', '101', '10', 'Lake', '10']"
5,131,"['131', '129', '139', '141', '139', '141', '139', '129', '131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '125', '153', '151', '119', '120', '117', '261', '257', '120', '117', '261', '117', '120', '119', '120', '117', '261', '257', '120', '117', '261', '117', '115', '107', '105', '263', '105', '101', '10', 'Lake', '10', '101', '103', '101', '105', '101', '10', 'Lake', '10', '101', '103', '109', '103', '101', '105', '101', '10', 'Lake', '10', '101', '103', '101', '105', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101', '10', 'Lake', '10', '101']"
6,131,"['131', '129', '127', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '20', '127', '125', '153', '151', '119', '120', '117', '115', '107', '105', '263', '259', '257', '259', '263', '261', '257', '120', '121', '119', '120', '117', '261', '257', '120', '117', '115', '107', '105', '107', '115', '111', '113', '115', '117', '115', '107', '105', '263', '105', '107', '115', '107', '105', '263', '105', '101', '10', 'Lake', '10', '101', '103', '109', '111', '109', '103', '109', '103', '101', '103', '101', '105', '101', '103', '101', '105', '101', '103', '101', '105', '101', '103', '101', '105', '101', '103', '101', '105', '101', '103', '101', '105', '101']"
7,131,"['131', '129', '131', '129', '131', '129', '139', '141', '139', '129', '131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '125', '153', '151', '119', '120', '117', '261', '257', '259', '263', '261', '117', '120', '119', '120', '117', '261', '257', '120', '117', '120', '117', '261', '257', '120', '117', '261', '117', '120', '117', '115', '107', '105', '263', '105', '101', '10', 'Lake', '10', '101', '103', '109', '103', '101', '105', '107', '115', '107', '105', '263', '259', '257', '120', '117', '115', '107', '105', '263', '105', '107', '115', '107', '105', '107', '105', '263', '259', '257', '120', '117', '115', '107', '105', '263', '105', '107']"
8,131,"['131', '129', '139', '129', '139', '129', '127', '129', '139', '141', '139', '129', '131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '125', '153', '151', '119', '120', '119', '120', '119', '121', '119', '121', '119', '121', '119', '120', '119', '120', '119', '120', '119', '120', '117', '261', '257', '120', '117', '261', '117', '120', '117', '261', '257', '120', '117', '261', '117', '115', '107', '105', '263', '105', '107', '115', '111', '115', '111', '109', '103', '101', '105', '101', '10', 'Lake', '10', '101', '103', '109', '111', '109', '103', '109', '111', '109', '103', '109', '103', '109', '103', '101', '105', '101', '103', '109', '103']"
9,131,"['131', '129', '127', '20', '127', '129', '131', '129', '127', '129', '139', '141', '139', '129', '131', '129', '127', '125', '121', '119', '151', '149', '147', '145', '141', '139', '129', '127', '125', '153', '151', '119', '121', '119', '151', '119', '151', '149', '147', '145', '141', '139', '129', '127', '20', '127', '125', '153', '125', '121', '119', '120', '117', '261', '257', '120', '117', '115', '111', '113', '115', '107', '105', '107', '115', '111', '115', '113', '193', '113', '111', '115', '107', '105', '107', '105', '107', '105', '263', '259', '257', '120', '117', '261', '257', '120', '117', '261', '117', '115', '107', '105', '263', '105', '107', '115', '107', '105', '263', '105']"
