turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.6,7,6
3,2.156862745098039,1.7889087656529516,0.6666666666666666,0.5714285714285714,11,10
4,2.7450980392156863,2.3255813953488373,0.5,0.375,14,13
5,3.1372549019607843,2.6833631484794274,0.2857142857142857,0.2,16,15
6,3.7254901960784315,3.2200357781753133,0.42857142857142855,0.3,19,18
7,4.509803921568627,4.114490161001789,0.5,0.5,23,23
8,5.098039215686274,4.651162790697675,0.375,0.3,26,26
9,5.88235294117647,5.366726296958855,0.4444444444444444,0.4,30,30
10,6.078431372549019,5.724508050089446,0.125,0.2,31,32
11,6.666666666666667,6.440071556350627,0.42857142857142855,0.4,34,36
12,7.254901960784315,6.976744186046512,0.375,0.3,37,39
13,7.8431372549019605,7.5134168157423975,0.42857142857142855,0.3,40,42
14,8.431372549019608,8.050089445438283,0.3333333333333333,0.3,43,45
15,8.823529411764707,8.407871198568873,0.2,0.2,45,47
16,9.215686274509805,8.765652951699463,0.25,0.2,47,49
17,9.607843137254903,9.123434704830053,0.2222222222222222,0.2,49,51
18,10.196078431372548,9.66010733452594,0.3,0.3,52,54
19,10.784313725490197,10.196779964221825,0.3,0.3,55,57
20,11.372549019607844,10.73345259391771,0.3,0.3,58,60
21,11.96078431372549,11.270125223613595,0.3,0.3,61,63
22,12.549019607843137,11.806797853309481,0.3333333333333333,0.3,64,66
23,13.137254901960786,12.343470483005367,0.3,0.3,67,69
24,13.529411764705882,12.701252236135957,0.2,0.2,69,71
25,13.92156862745098,13.059033989266547,0.2,0.2,71,73
26,14.313725490196077,13.416815742397137,0.2,0.2,73,75
27,14.705882352941178,13.774597495527727,0.2,0.2,75,77
28,14.705882352941178,13.774597495527727,0.0,0.0,75,77
29,15.098039215686274,14.132379248658319,0.2222222222222222,0.2,77,79
30,15.490196078431373,14.490161001788909,0.2,0.2,79,81
31,15.88235294117647,14.847942754919499,0.2,0.2,81,83
32,16.07843137254902,15.026833631484795,0.1111111111111111,0.1,82,84
33,16.470588235294116,15.384615384615385,0.2,0.2,84,86
34,16.862745098039216,15.742397137745975,0.2,0.2,86,88
35,17.058823529411764,15.92128801431127,0.1,0.1,87,89
36,17.45098039215686,16.27906976744186,0.2,0.2,89,91
37,17.84313725490196,16.636851520572453,0.2,0.2,91,93
38,18.03921568627451,16.815742397137747,0.1111111111111111,0.1,92,94
39,18.235294117647058,16.99463327370304,0.1,0.1,93,95
40,18.43137254901961,17.173524150268335,0.1,0.1,94,96
41,18.823529411764707,17.531305903398927,0.2222222222222222,0.2,96,98
42,19.019607843137255,17.71019677996422,0.1111111111111111,0.1,97,99
43,19.411764705882355,18.067978533094813,0.2222222222222222,0.2,99,101
44,19.80392156862745,18.425760286225405,0.2222222222222222,0.2,101,103
45,20.19607843137255,18.783542039355993,0.2,0.2,103,105
46,20.784313725490197,19.32021466905188,0.3,0.3,106,108
47,20.980392156862745,19.499105545617173,0.1,0.1,107,109
48,20.980392156862745,19.499105545617173,0.0,0.0,107,109
49,21.372549019607842,19.856887298747765,0.2222222222222222,0.2,109,111
50,21.568627450980394,20.214669051878353,0.1,0.2,110,113
51,21.764705882352942,20.39355992844365,0.1,0.1,111,114
52,21.96078431372549,20.572450805008945,0.1,0.1,112,115
53,22.35294117647059,20.930232558139537,0.2,0.2,114,117
54,22.941176470588236,21.46690518783542,0.3,0.3,117,120
55,23.52941176470588,22.003577817531305,0.3,0.3,120,123
56,23.92156862745098,22.54025044722719,0.2,0.3,122,126
57,24.313725490196077,22.898032200357783,0.2,0.2,124,128
58,24.705882352941178,23.25581395348837,0.2,0.2,126,130
59,25.098039215686274,23.613595706618963,0.2,0.2,128,132
60,25.49019607843137,23.97137745974955,0.2,0.2,130,134
61,26.078431372549023,24.508050089445437,0.3,0.3,133,137
62,26.666666666666668,25.044722719141323,0.3,0.3,136,140
63,27.254901960784313,25.581395348837212,0.3,0.3,139,143
64,27.84313725490196,26.118067978533094,0.3,0.3,142,146
65,28.431372549019606,26.654740608228984,0.3,0.3,145,149
66,29.01960784313726,27.191413237924866,0.3,0.3,148,152
67,29.411764705882355,27.549194991055455,0.2,0.2,150,154
68,29.607843137254903,27.906976744186046,0.1,0.2,151,156
69,30.0,28.264758497316638,0.2,0.2,153,158
70,30.392156862745097,28.80143112701252,0.2,0.3,155,161
71,30.58823529411765,28.980322003577818,0.1,0.1,156,162
72,30.980392156862745,29.338103756708406,0.2,0.2,158,164
73,31.372549019607842,29.695885509838998,0.2,0.2,160,166
74,31.76470588235294,30.05366726296959,0.2,0.2,162,168
75,31.960784313725487,30.23255813953488,0.1,0.1,163,169
76,32.15686274509804,30.41144901610018,0.1,0.1,164,170
77,32.35294117647059,30.590339892665476,0.1,0.1,165,171
78,32.745098039215684,30.94812164579606,0.2,0.2,167,173
79,33.13725490196078,31.305903398926656,0.2,0.2,169,175
80,33.13725490196078,31.305903398926656,0.0,0.0,169,175
81,33.33333333333333,31.48479427549195,0.1,0.1,170,176
82,33.52941176470588,31.84257602862254,0.1111111111111111,0.2,171,178
83,33.72549019607843,32.021466905187836,0.1,0.1,172,179
84,33.92156862745098,32.200357781753134,0.1,0.1,173,180
85,34.11764705882353,32.379248658318424,0.1,0.1,174,181
86,34.31372549019608,32.55813953488372,0.1,0.1,175,182
87,34.509803921568626,32.91592128801431,0.1111111111111111,0.2,176,184
88,34.705882352941174,33.09481216457961,0.1,0.1,177,185
89,34.90196078431372,33.273703041144906,0.1,0.1,178,186
90,35.294117647058826,33.631484794275494,0.2222222222222222,0.2,180,188
91,35.68627450980392,33.98926654740608,0.2,0.2,182,190
92,36.07843137254902,34.34704830053667,0.2,0.2,184,192
93,36.470588235294116,34.704830053667266,0.2,0.2,186,194
94,36.666666666666664,34.883720930232556,0.1,0.1,187,195
95,37.05882352941177,35.241502683363144,0.2,0.2,189,197
96,37.450980392156865,35.59928443649374,0.2,0.2,191,199
97,37.64705882352941,35.95706618962433,0.1,0.2,192,201
98,37.64705882352941,36.135957066189626,0.0,0.1,192,202
99,37.84313725490196,36.314847942754916,0.1111111111111111,0.1,193,203
