turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.6,7,6
3,1.9607843137254901,1.6100178890876566,0.5,0.5,10,9
4,2.549019607843137,2.146690518783542,0.42857142857142855,0.42857142857142855,13,12
5,3.3333333333333335,2.862254025044723,0.5,0.4444444444444444,17,16
6,3.9215686274509802,3.3989266547406083,0.375,0.3333333333333333,20,19
7,4.313725490196078,3.7567084078711988,0.2222222222222222,0.18181818181818182,22,21
8,4.901960784313726,4.47227191413238,0.3333333333333333,0.36363636363636365,25,25
9,5.490196078431373,5.18783542039356,0.2727272727272727,0.3333333333333333,28,29
10,6.078431372549019,5.724508050089446,0.25,0.21428571428571427,31,32
11,6.470588235294119,6.082289803220036,0.16666666666666666,0.13333333333333333,33,34
12,6.666666666666667,6.261180679785331,0.07692307692307693,0.05555555555555555,34,35
13,7.0588235294117645,6.618962432915922,0.13333333333333333,0.1111111111111111,36,37
14,7.450980392156863,6.976744186046512,0.15384615384615385,0.1111111111111111,38,39
15,7.8431372549019605,7.334525939177102,0.125,0.10526315789473684,40,41
16,8.431372549019608,7.8711985688729875,0.17647058823529413,0.15,43,44
17,8.823529411764707,8.228980322003578,0.125,0.09523809523809523,45,46
18,9.411764705882353,8.765652951699463,0.16666666666666666,0.13043478260869565,48,49
19,10.0,9.30232558139535,0.15789473684210525,0.125,51,52
20,10.196078431372548,9.66010733452594,0.047619047619047616,0.07692307692307693,52,54
21,10.196078431372548,9.66010733452594,0.0,0.0,52,54
22,10.588235294117647,10.01788908765653,0.09090909090909091,0.07692307692307693,54,56
23,11.176470588235295,10.554561717352415,0.13043478260869565,0.10714285714285714,57,59
24,11.568627450980392,11.091234347048301,0.09090909090909091,0.10714285714285714,59,62
25,11.96078431372549,11.449016100178891,0.08695652173913043,0.07142857142857142,61,64
26,12.352941176470589,11.985688729874775,0.07407407407407407,0.10714285714285714,63,67
27,12.745098039215685,12.343470483005367,0.07692307692307693,0.07142857142857142,65,69
28,13.137254901960786,12.701252236135957,0.08333333333333333,0.07142857142857142,67,71
29,13.333333333333334,13.237924865831843,0.04,0.0967741935483871,68,74
30,13.529411764705882,13.595706618962433,0.03571428571428571,0.0625,69,76
31,13.725490196078432,13.953488372093023,0.037037037037037035,0.06666666666666667,70,78
32,13.92156862745098,14.132379248658319,0.034482758620689655,0.029411764705882353,71,79
33,14.313725490196077,14.669051878354203,0.07407407407407407,0.09090909090909091,73,82
34,14.50980392156863,14.847942754919499,0.03125,0.02702702702702703,74,83
35,14.901960784313726,15.20572450805009,0.06451612903225806,0.05555555555555555,76,85
36,15.294117647058824,15.56350626118068,0.0625,0.05128205128205128,78,87
37,15.686274509803921,15.92128801431127,0.06666666666666667,0.05405405405405406,80,89
38,16.07843137254902,16.27906976744186,0.06896551724137931,0.05128205128205128,82,91
39,16.274509803921568,16.457960644007155,0.03333333333333333,0.02702702702702703,83,92
40,16.470588235294116,16.815742397137747,0.03225806451612903,0.05128205128205128,84,94
41,16.666666666666664,16.99463327370304,0.03225806451612903,0.02702702702702703,85,95
42,17.254901960784313,17.531305903398927,0.0967741935483871,0.07692307692307693,88,98
43,17.647058823529413,18.067978533094813,0.05714285714285714,0.08333333333333333,90,101
44,18.235294117647058,18.6046511627907,0.09375,0.07894736842105263,93,104
45,18.823529411764707,19.141323792486585,0.08823529411764706,0.07894736842105263,96,107
46,19.411764705882355,19.67799642218247,0.09090909090909091,0.07894736842105263,99,110
47,19.80392156862745,20.214669051878353,0.06451612903225806,0.07692307692307693,101,113
48,20.19607843137255,20.572450805008945,0.0625,0.05,103,115
49,20.588235294117645,20.930232558139537,0.06060606060606061,0.05128205128205128,105,117
50,20.980392156862745,21.46690518783542,0.07142857142857142,0.07894736842105263,107,120
51,21.372549019607842,21.82468694096601,0.058823529411764705,0.05128205128205128,109,122
52,21.764705882352942,22.182468694096602,0.06451612903225806,0.05128205128205128,111,124
53,22.15686274509804,22.54025044722719,0.058823529411764705,0.05128205128205128,113,126
54,22.35294117647059,22.898032200357783,0.030303030303030304,0.05,114,128
55,22.745098039215687,23.25581395348837,0.06060606060606061,0.05263157894736842,116,130
56,23.333333333333332,23.792486583184257,0.08571428571428572,0.07894736842105263,119,133
57,23.92156862745098,24.329159212880143,0.08823529411764706,0.08108108108108109,122,136
58,24.509803921568626,24.86583184257603,0.08333333333333333,0.07894736842105263,125,139
59,25.294117647058822,25.581395348837212,0.11428571428571428,0.10810810810810811,129,143
60,26.078431372549023,26.29695885509839,0.10810810810810811,0.10256410256410256,133,147
61,26.27450980392157,26.475849731663686,0.027777777777777776,0.02702702702702703,134,148
62,27.058823529411764,27.191413237924866,0.125,0.1111111111111111,138,152
63,27.647058823529413,27.72808586762075,0.08108108108108109,0.075,141,155
64,28.431372549019606,28.622540250447226,0.11428571428571428,0.1388888888888889,145,160
65,29.01960784313726,29.159212880143116,0.08823529411764706,0.07894736842105263,148,163
66,29.607843137254903,29.874776386404296,0.08333333333333333,0.10526315789473684,151,167
67,30.392156862745097,30.590339892665476,0.12903225806451613,0.1111111111111111,155,171
68,30.784313725490197,30.94812164579606,0.06060606060606061,0.05128205128205128,157,173
69,30.980392156862745,31.305903398926656,0.030303030303030304,0.05263157894736842,158,175
70,31.56862745098039,31.84257602862254,0.09090909090909091,0.08571428571428572,161,178
71,32.15686274509804,32.55813953488372,0.08108108108108109,0.1111111111111111,164,182
72,32.549019607843135,32.91592128801431,0.06060606060606061,0.05128205128205128,166,184
73,33.13725490196078,33.452593917710196,0.08571428571428572,0.08108108108108109,169,187
74,33.72549019607843,33.98926654740608,0.08823529411764706,0.08108108108108109,172,190
75,34.31372549019608,34.52593917710197,0.08823529411764706,0.08108108108108109,175,193
76,35.294117647058826,35.42039355992844,0.14285714285714285,0.1282051282051282,180,198
77,35.88235294117647,35.95706618962433,0.08333333333333333,0.08108108108108109,183,201
78,36.666666666666664,36.67262969588551,0.10526315789473684,0.1111111111111111,187,205
79,37.450980392156865,37.38819320214669,0.11428571428571428,0.10526315789473684,191,209
80,38.23529411764706,38.10375670840787,0.11428571428571428,0.10526315789473684,195,213
81,38.62745098039216,38.64042933810376,0.05555555555555555,0.07692307692307693,197,216
82,39.411764705882355,39.35599284436494,0.1111111111111111,0.10256410256410256,201,220
83,40.0,40.07155635062612,0.08823529411764706,0.10256410256410256,204,224
84,40.98039215686274,40.9660107334526,0.15151515151515152,0.1388888888888889,209,229
85,41.568627450980394,41.50268336314848,0.08333333333333333,0.07692307692307693,212,232
86,41.96078431372549,42.039355992844364,0.05405405405405406,0.08108108108108109,214,235
87,42.549019607843135,42.57602862254025,0.08108108108108109,0.08108108108108109,217,238
88,43.13725490196079,43.112701252236135,0.08108108108108109,0.07692307692307693,220,241
89,43.333333333333336,43.47048300536673,0.027777777777777776,0.05263157894736842,221,243
90,43.72549019607843,44.00715563506261,0.05714285714285714,0.08108108108108109,223,246
91,43.92156862745098,44.18604651162791,0.025,0.02631578947368421,224,247
92,44.31372549019608,44.543828264758496,0.05714285714285714,0.05405405405405406,226,249
93,44.70588235294118,44.90161001788909,0.05555555555555555,0.05263157894736842,228,251
94,45.09803921568628,45.25939177101968,0.05555555555555555,0.05555555555555555,230,253
95,45.490196078431374,45.61717352415027,0.05405405405405406,0.05128205128205128,232,255
96,45.88235294117647,45.97495527728086,0.05263157894736842,0.05,234,257
97,46.27450980392157,46.332737030411444,0.05405405405405406,0.05128205128205128,236,259
98,46.666666666666664,46.69051878354204,0.05263157894736842,0.05128205128205128,238,261
99,47.45098039215686,47.40608228980322,0.10526315789473684,0.10526315789473684,242,265
