turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.1764705882352942,0.8944543828264758,0.6666666666666666,0.5,6,5
3,1.5686274509803921,1.2522361359570662,0.4,0.4,8,7
4,2.156862745098039,1.7889087656529516,0.5,0.42857142857142855,11,10
5,2.549019607843137,2.146690518783542,0.2857142857142857,0.2857142857142857,13,12
6,2.7450980392156863,2.3255813953488373,0.14285714285714285,0.1111111111111111,14,13
7,2.941176470588235,2.5044722719141324,0.125,0.1,15,14
8,3.1372549019607843,2.6833631484794274,0.125,0.09090909090909091,16,15
9,3.3333333333333335,2.862254025044723,0.1111111111111111,0.08333333333333333,17,16
10,3.9215686274509802,3.3989266547406083,0.2727272727272727,0.2,20,19
11,4.509803921568627,3.9355992844364938,0.25,0.1875,23,22
12,5.490196078431373,4.83005366726297,0.3125,0.2631578947368421,28,27
13,6.470588235294119,5.724508050089446,0.29411764705882354,0.23809523809523808,33,32
14,7.0588235294117645,6.440071556350627,0.16666666666666666,0.19047619047619047,36,36
15,7.450980392156863,6.976744186046512,0.10526315789473684,0.13043478260869565,38,39
16,7.647058823529412,7.155635062611807,0.05263157894736842,0.041666666666666664,39,40
17,7.8431372549019605,7.334525939177102,0.05555555555555555,0.041666666666666664,40,41
18,8.235294117647058,7.6923076923076925,0.1,0.08,42,43
19,8.823529411764707,8.228980322003578,0.14285714285714285,0.1111111111111111,45,46
20,9.215686274509805,8.586762075134168,0.10526315789473684,0.07407407407407407,47,48
21,9.803921568627452,9.123434704830053,0.125,0.10344827586206896,50,51
22,10.392156862745098,9.66010733452594,0.12,0.1,53,54
23,10.784313725490197,10.01788908765653,0.08333333333333333,0.06451612903225806,55,56
24,11.176470588235295,10.554561717352415,0.08,0.09090909090909091,57,59
25,11.76470588235294,11.091234347048301,0.1111111111111111,0.09090909090909091,60,62
26,12.549019607843137,11.806797853309481,0.14814814814814814,0.11764705882352941,64,66
27,12.941176470588237,12.343470483005367,0.07142857142857142,0.09090909090909091,66,69
28,13.137254901960786,12.880143112701253,0.034482758620689655,0.08333333333333333,67,72
29,13.333333333333334,13.237924865831843,0.03333333333333333,0.058823529411764705,68,74
30,13.529411764705882,13.416815742397137,0.03571428571428571,0.02857142857142857,69,75
31,13.529411764705882,13.774597495527727,0.0,0.05714285714285714,69,77
32,13.529411764705882,13.774597495527727,0.0,0.0,69,77
33,13.725490196078432,14.132379248658319,0.034482758620689655,0.05263157894736842,70,79
34,14.117647058823529,14.669051878354203,0.0625,0.07317073170731707,72,82
35,14.50980392156863,15.026833631484795,0.0625,0.05,74,84
36,14.705882352941178,15.20572450805009,0.03125,0.023809523809523808,75,85
37,15.294117647058824,15.742397137745975,0.08571428571428572,0.07142857142857142,78,88
38,16.07843137254902,16.457960644007155,0.11764705882352941,0.08888888888888889,82,92
39,17.058823529411764,17.352415026833633,0.13513513513513514,0.10869565217391304,87,97
40,18.03921568627451,18.425760286225405,0.13513513513513514,0.1276595744680851,92,103
41,18.823529411764707,19.32021466905188,0.1,0.10638297872340426,96,108
42,19.411764705882355,19.856887298747765,0.07894736842105263,0.06382978723404255,99,111
43,20.0,20.39355992844365,0.07692307692307693,0.06382978723404255,102,114
44,20.392156862745097,20.930232558139537,0.05263157894736842,0.0625,104,117
45,20.588235294117645,21.10912343470483,0.02564102564102564,0.02127659574468085,105,118
46,21.372549019607842,21.82468694096601,0.1111111111111111,0.08333333333333333,109,122
47,21.96078431372549,22.361359570661897,0.075,0.06382978723404255,112,125
48,22.54901960784314,23.076923076923077,0.075,0.08333333333333333,115,129
49,23.137254901960784,23.613595706618963,0.07894736842105263,0.061224489795918366,118,132
50,23.92156862745098,24.329159212880143,0.10256410256410256,0.08163265306122448,122,136
51,24.901960784313726,25.223613595706617,0.125,0.10416666666666667,127,141
52,25.882352941176475,26.118067978533094,0.11904761904761904,0.10638297872340426,132,146
53,26.862745098039216,27.01252236135957,0.13513513513513514,0.10416666666666667,137,151
54,27.84313725490196,27.906976744186046,0.11627906976744186,0.10204081632653061,142,156
55,28.823529411764703,28.80143112701252,0.11627906976744186,0.10416666666666667,147,161
56,29.80392156862745,29.695885509838998,0.11904761904761904,0.10638297872340426,152,166
57,30.19607843137255,30.05366726296959,0.047619047619047616,0.0425531914893617,154,168
58,30.784313725490197,30.76923076923077,0.06818181818181818,0.0851063829787234,157,172
59,31.176470588235293,31.305903398926656,0.045454545454545456,0.0625,159,175
60,31.372549019607842,31.663685152057248,0.023255813953488372,0.041666666666666664,160,177
61,31.960784313725487,32.379248658318424,0.06521739130434782,0.0851063829787234,163,181
62,32.549019607843135,32.91592128801431,0.06818181818181818,0.06382978723404255,166,184
63,32.94117647058823,33.273703041144906,0.046511627906976744,0.041666666666666664,168,186
64,33.72549019607843,33.98926654740608,0.09523809523809523,0.08695652173913043,172,190
65,33.92156862745098,34.16815742397138,0.023809523809523808,0.021739130434782608,173,191
66,34.509803921568626,34.704830053667266,0.07317073170731707,0.06,176,194
67,34.90196078431372,35.062611806797854,0.045454545454545456,0.0425531914893617,178,196
68,35.490196078431374,35.77817531305904,0.06666666666666667,0.09090909090909091,181,200
69,36.07843137254902,36.493738819320214,0.06521739130434782,0.08163265306122448,184,204
70,36.666666666666664,37.0304114490161,0.06976744186046512,0.06521739130434782,187,207
71,37.254901960784316,37.745974955277276,0.06818181818181818,0.0851063829787234,190,211
72,38.03921568627451,38.64042933810376,0.08695652173913043,0.10638297872340426,194,216
73,38.23529411764706,38.998211091234346,0.022222222222222223,0.043478260869565216,195,218
74,38.43137254901961,39.53488372093023,0.022222222222222223,0.06521739130434782,196,221
75,38.62745098039216,39.71377459749553,0.022222222222222223,0.021739130434782608,197,222
76,39.01960784313726,40.07155635062612,0.046511627906976744,0.044444444444444446,199,224
77,39.6078431372549,40.608228980322004,0.07317073170731707,0.06818181818181818,202,227
78,40.3921568627451,41.50268336314848,0.08888888888888889,0.10638297872340426,206,232
79,40.98039215686274,42.039355992844364,0.06382978723404255,0.06521739130434782,209,235
80,41.37254901960784,42.39713774597496,0.047619047619047616,0.0425531914893617,211,237
81,41.568627450980394,42.93381037567084,0.020833333333333332,0.06382978723404255,212,240
82,41.76470588235294,43.112701252236135,0.022222222222222223,0.02127659574468085,213,241
83,42.15686274509804,43.47048300536673,0.0425531914893617,0.041666666666666664,215,243
84,42.549019607843135,43.82826475849731,0.043478260869565216,0.041666666666666664,217,245
85,42.94117647058823,44.18604651162791,0.043478260869565216,0.044444444444444446,219,247
86,43.333333333333336,44.543828264758496,0.043478260869565216,0.043478260869565216,221,249
87,43.92156862745098,45.08050089445438,0.06666666666666667,0.0625,224,252
88,44.509803921568626,45.61717352415027,0.06382978723404255,0.06382978723404255,227,255
89,44.90196078431373,45.97495527728086,0.044444444444444446,0.041666666666666664,229,257
90,45.68627450980392,46.69051878354204,0.08695652173913043,0.08163265306122448,233,261
91,46.27450980392157,47.227191413237925,0.06521739130434782,0.06382978723404255,236,264
92,46.86274509803921,47.76386404293381,0.061224489795918366,0.06666666666666667,239,267
93,47.05882352941176,47.9427549194991,0.023255813953488372,0.022222222222222223,240,268
94,47.84313725490196,48.658318425760285,0.09302325581395349,0.0851063829787234,244,272
95,48.627450980392155,49.37388193202147,0.08695652173913043,0.08695652173913043,248,276
96,49.01960784313725,49.73166368515206,0.043478260869565216,0.0425531914893617,250,278
97,49.80392156862745,50.44722719141323,0.08888888888888889,0.08333333333333333,254,282
98,50.3921568627451,50.98389982110913,0.06666666666666667,0.06666666666666667,257,285
99,50.78431372549019,51.341681574239715,0.0425531914893617,0.04081632653061224,259,287
