turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.9803921568627451,0.7155635062611807,1.0,0.75,5,4
2,2.156862745098039,1.7889087656529516,0.8571428571428571,0.6,11,10
3,2.549019607843137,2.3255813953488373,0.25,0.2727272727272727,13,13
4,2.7450980392156863,2.6833631484794274,0.1,0.16666666666666666,14,15
5,2.941176470588235,2.862254025044723,0.1,0.07142857142857142,15,16
6,3.1372549019607843,3.041144901610018,0.07692307692307693,0.06666666666666667,16,17
7,3.3333333333333335,3.2200357781753133,0.08333333333333333,0.0625,17,18
8,3.5294117647058822,3.3989266547406083,0.07142857142857142,0.0625,18,19
9,3.7254901960784315,3.5778175313059033,0.07692307692307693,0.05555555555555555,19,20
10,3.9215686274509802,3.7567084078711988,0.07692307692307693,0.058823529411764705,20,21
11,4.117647058823529,3.9355992844364938,0.09090909090909091,0.0625,21,22
12,4.313725490196078,4.114490161001789,0.07142857142857142,0.0625,22,23
13,4.509803921568627,4.293381037567084,0.08333333333333333,0.0625,23,24
14,4.509803921568627,4.293381037567084,0.0,0.0,23,24
15,4.705882352941177,4.47227191413238,0.07692307692307693,0.058823529411764705,24,25
16,5.294117647058823,5.008944543828265,0.2,0.17647058823529413,27,28
17,5.686274509803922,5.366726296958855,0.15384615384615385,0.13333333333333333,29,30
18,6.078431372549019,5.724508050089446,0.15384615384615385,0.125,31,32
19,6.078431372549019,5.724508050089446,0.0,0.0,31,32
20,6.2745098039215685,5.903398926654741,0.0625,0.0625,32,33
21,6.862745098039216,6.440071556350627,0.2,0.17647058823529413,35,36
22,7.254901960784315,6.976744186046512,0.125,0.17647058823529413,37,39
23,7.647058823529412,7.334525939177102,0.15384615384615385,0.11764705882352941,39,41
24,8.03921568627451,7.6923076923076925,0.125,0.125,41,43
25,8.627450980392156,8.407871198568873,0.2,0.25,44,47
26,9.215686274509805,8.94454382826476,0.2,0.17647058823529413,47,50
27,9.607843137254903,9.30232558139535,0.14285714285714285,0.1111111111111111,49,52
28,10.0,9.66010733452594,0.125,0.11764705882352941,51,54
29,10.196078431372548,9.838998211091235,0.058823529411764705,0.058823529411764705,52,55
30,10.588235294117647,10.196779964221825,0.125,0.11764705882352941,54,57
31,10.980392156862745,10.554561717352415,0.13333333333333333,0.1111111111111111,56,59
32,11.176470588235295,10.73345259391771,0.058823529411764705,0.05555555555555555,57,60
33,11.568627450980392,11.091234347048301,0.11764705882352941,0.125,59,62
34,11.96078431372549,11.449016100178891,0.125,0.1111111111111111,61,64
35,11.96078431372549,11.627906976744185,0.0,0.05263157894736842,61,65
36,12.156862745098039,11.806797853309481,0.06666666666666667,0.05555555555555555,62,66
37,12.352941176470589,11.985688729874775,0.05263157894736842,0.05555555555555555,63,67
38,12.549019607843137,12.164579606440071,0.058823529411764705,0.05555555555555555,64,68
39,12.745098039215685,12.343470483005367,0.05555555555555555,0.05263157894736842,65,69
40,12.941176470588237,12.522361359570661,0.05555555555555555,0.05263157894736842,66,70
41,13.333333333333334,12.880143112701253,0.1111111111111111,0.125,68,72
42,13.725490196078432,13.237924865831843,0.11764705882352941,0.11764705882352941,70,74
43,14.117647058823529,13.595706618962433,0.10526315789473684,0.10526315789473684,72,76
44,14.313725490196077,13.953488372093023,0.058823529411764705,0.10526315789473684,73,78
45,14.705882352941178,14.311270125223613,0.10526315789473684,0.10526315789473684,75,80
46,14.901960784313726,14.669051878354203,0.058823529411764705,0.10526315789473684,76,82
47,15.098039215686274,14.847942754919499,0.05263157894736842,0.05555555555555555,77,83
48,15.098039215686274,15.20572450805009,0.0,0.10526315789473684,77,85
49,15.098039215686274,15.384615384615385,0.0,0.05263157894736842,77,86
50,15.294117647058824,15.56350626118068,0.05263157894736842,0.05263157894736842,78,87
51,15.686274509803921,15.92128801431127,0.1111111111111111,0.10526315789473684,80,89
52,15.88235294117647,16.27906976744186,0.05263157894736842,0.11764705882352941,81,91
53,16.07843137254902,16.636851520572453,0.05555555555555555,0.11764705882352941,82,93
54,16.07843137254902,16.636851520572453,0.0,0.0,82,93
55,16.07843137254902,16.636851520572453,0.0,0.0,82,93
56,16.07843137254902,16.636851520572453,0.0,0.0,82,93
57,16.07843137254902,16.636851520572453,0.0,0.0,82,93
58,16.07843137254902,16.636851520572453,0.0,0.0,82,93
59,16.07843137254902,16.636851520572453,0.0,0.0,82,93
60,16.07843137254902,16.636851520572453,0.0,0.0,82,93
61,16.07843137254902,16.815742397137747,0.0,0.05555555555555555,82,94
62,16.07843137254902,16.815742397137747,0.0,0.0,82,94
63,16.07843137254902,16.815742397137747,0.0,0.0,82,94
64,16.07843137254902,16.815742397137747,0.0,0.0,82,94
65,16.07843137254902,16.815742397137747,0.0,0.0,82,94
66,16.274509803921568,16.99463327370304,0.06666666666666667,0.05555555555555555,83,95
67,16.470588235294116,17.173524150268335,0.05555555555555555,0.05555555555555555,84,96
68,16.470588235294116,17.173524150268335,0.0,0.0,84,96
69,16.666666666666664,17.352415026833633,0.05263157894736842,0.05555555555555555,85,97
70,16.862745098039216,17.531305903398927,0.05,0.05263157894736842,86,98
71,17.254901960784313,17.88908765652952,0.10526315789473684,0.10526315789473684,88,100
72,17.45098039215686,18.067978533094813,0.05555555555555555,0.05,89,101
73,17.647058823529413,18.246869409660107,0.05,0.05263157894736842,90,102
74,17.84313725490196,18.425760286225405,0.05,0.05,91,103
75,18.03921568627451,18.6046511627907,0.05263157894736842,0.05555555555555555,92,104
76,18.235294117647058,18.783542039355993,0.058823529411764705,0.05555555555555555,93,105
77,18.235294117647058,18.783542039355993,0.0,0.0,93,105
