turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.5,7,6
3,2.156862745098039,2.146690518783542,0.4444444444444444,0.5,11,12
4,2.7450980392156863,2.6833631484794274,0.3333333333333333,0.25,14,15
5,2.941176470588235,2.862254025044723,0.09090909090909091,0.06666666666666667,15,16
6,3.3333333333333335,3.2200357781753133,0.16666666666666666,0.13333333333333333,17,18
7,3.7254901960784315,3.5778175313059033,0.15384615384615385,0.125,19,20
8,4.313725490196078,4.114490161001789,0.2,0.17647058823529413,22,23
9,4.901960784313726,4.651162790697675,0.1875,0.15789473684210525,25,26
10,5.490196078431373,5.18783542039356,0.17647058823529413,0.15789473684210525,28,29
11,5.88235294117647,5.545617173524151,0.1111111111111111,0.10526315789473684,30,31
12,6.2745098039215685,5.903398926654741,0.1111111111111111,0.09523809523809523,32,33
13,6.862745098039216,6.440071556350627,0.15789473684210525,0.13636363636363635,35,36
14,7.647058823529412,7.155635062611807,0.2222222222222222,0.19047619047619047,39,40
15,8.235294117647058,7.6923076923076925,0.16666666666666666,0.14285714285714285,42,43
16,8.823529411764707,8.228980322003578,0.15789473684210525,0.13636363636363635,45,46
17,9.411764705882353,8.765652951699463,0.15789473684210525,0.14285714285714285,48,49
18,10.0,9.481216457960643,0.15789473684210525,0.19047619047619047,51,53
19,10.588235294117647,10.01788908765653,0.15,0.13636363636363635,54,56
20,11.372549019607844,10.73345259391771,0.21052631578947367,0.19047619047619047,58,60
21,11.96078431372549,11.449016100178891,0.15,0.19047619047619047,61,64
22,12.156862745098039,11.627906976744185,0.05,0.047619047619047616,62,65
23,12.941176470588237,12.343470483005367,0.19047619047619047,0.18181818181818182,66,69
24,13.725490196078432,13.059033989266547,0.19047619047619047,0.18181818181818182,70,73
25,13.92156862745098,13.416815742397137,0.047619047619047616,0.09090909090909091,71,75
26,14.313725490196077,13.953488372093023,0.09523809523809523,0.14285714285714285,73,78
27,14.50980392156863,14.132379248658319,0.047619047619047616,0.045454545454545456,74,79
28,14.705882352941178,14.311270125223613,0.05,0.047619047619047616,75,80
29,14.901960784313726,14.490161001788909,0.05263157894736842,0.045454545454545456,76,81
30,15.098039215686274,14.669051878354203,0.05263157894736842,0.047619047619047616,77,82
31,15.098039215686274,15.026833631484795,0.0,0.09523809523809523,77,84
32,15.686274509803921,15.56350626118068,0.14285714285714285,0.13636363636363635,80,87
33,15.88235294117647,15.92128801431127,0.047619047619047616,0.09090909090909091,81,89
34,16.274509803921568,16.27906976744186,0.1,0.09523809523809523,83,91
35,16.666666666666664,16.636851520572453,0.09090909090909091,0.09090909090909091,85,93
36,16.862745098039216,16.99463327370304,0.05,0.09090909090909091,86,95
37,17.254901960784313,17.352415026833633,0.1,0.09090909090909091,88,97
38,17.647058823529413,17.71019677996422,0.09523809523809523,0.09090909090909091,90,99
39,18.03921568627451,18.067978533094813,0.09090909090909091,0.09090909090909091,92,101
40,18.235294117647058,18.246869409660107,0.05555555555555555,0.045454545454545456,93,102
41,18.43137254901961,18.6046511627907,0.047619047619047616,0.09090909090909091,94,104
42,18.43137254901961,18.783542039355993,0.0,0.045454545454545456,94,105
43,18.627450980392158,18.962432915921287,0.05,0.045454545454545456,95,106
44,19.019607843137255,19.32021466905188,0.10526315789473684,0.09090909090909091,97,108
45,19.411764705882355,19.67799642218247,0.10526315789473684,0.09090909090909091,99,110
46,19.80392156862745,20.03577817531306,0.1111111111111111,0.09090909090909091,101,112
47,20.392156862745097,20.572450805008945,0.15,0.13636363636363635,104,115
48,20.784313725490197,21.10912343470483,0.10526315789473684,0.13636363636363635,106,118
49,21.176470588235293,21.645796064400717,0.10526315789473684,0.13636363636363635,108,121
50,21.372549019607842,21.82468694096601,0.05263157894736842,0.047619047619047616,109,122
51,21.568627450980394,22.003577817531305,0.05263157894736842,0.045454545454545456,110,123
52,21.764705882352942,22.182468694096602,0.05555555555555555,0.045454545454545456,111,124
53,21.96078431372549,22.361359570661897,0.05263157894736842,0.045454545454545456,112,125
54,21.96078431372549,22.361359570661897,0.0,0.0,112,125
55,21.96078431372549,22.54025044722719,0.0,0.045454545454545456,112,126
56,22.15686274509804,22.719141323792485,0.05263157894736842,0.045454545454545456,113,127
57,22.54901960784314,23.076923076923077,0.1,0.09090909090909091,115,129
58,22.941176470588236,23.43470483005367,0.1111111111111111,0.09090909090909091,117,131
59,23.137254901960784,23.613595706618963,0.05,0.045454545454545456,118,132
60,23.52941176470588,23.97137745974955,0.10526315789473684,0.09090909090909091,120,134
61,23.92156862745098,24.329159212880143,0.1,0.09090909090909091,122,136
62,24.11764705882353,24.508050089445437,0.05263157894736842,0.045454545454545456,123,137
63,24.509803921568626,24.86583184257603,0.1,0.09090909090909091,125,139
64,24.705882352941178,25.044722719141323,0.05263157894736842,0.045454545454545456,126,140
65,25.098039215686274,25.402504472271914,0.1,0.09090909090909091,128,142
66,25.49019607843137,25.760286225402506,0.10526315789473684,0.09090909090909091,130,144
67,25.882352941176475,26.118067978533094,0.1,0.09090909090909091,132,146
68,26.27450980392157,26.475849731663686,0.10526315789473684,0.09090909090909091,134,148
69,26.47058823529412,26.654740608228984,0.05,0.045454545454545456,135,149
70,26.666666666666668,26.833631484794275,0.05263157894736842,0.045454545454545456,136,150
71,26.862745098039216,27.01252236135957,0.05,0.045454545454545456,137,151
72,27.254901960784313,27.370304114490164,0.10526315789473684,0.09090909090909091,139,153
73,27.450980392156865,27.549194991055455,0.05,0.045454545454545456,140,154
74,27.84313725490196,27.906976744186046,0.10526315789473684,0.09090909090909091,142,156
75,28.235294117647058,28.264758497316638,0.1,0.09090909090909091,144,158
76,28.627450980392155,28.622540250447226,0.10526315789473684,0.09090909090909091,146,160
77,29.01960784313726,28.980322003577818,0.1,0.09090909090909091,148,162
78,29.411764705882355,29.338103756708406,0.10526315789473684,0.09090909090909091,150,164
79,29.80392156862745,29.695885509838998,0.1,0.09090909090909091,152,166
80,30.19607843137255,30.05366726296959,0.10526315789473684,0.09090909090909091,154,168
81,30.58823529411765,30.41144901610018,0.1,0.09090909090909091,156,170
82,30.784313725490197,30.590339892665476,0.05263157894736842,0.045454545454545456,157,171
83,31.176470588235293,30.94812164579606,0.1,0.09090909090909091,159,173
84,31.56862745098039,31.305903398926656,0.10526315789473684,0.09090909090909091,161,175
85,31.960784313725487,31.663685152057248,0.1,0.09090909090909091,163,177
86,32.35294117647059,32.021466905187836,0.10526315789473684,0.09090909090909091,165,179
87,32.745098039215684,32.379248658318424,0.1,0.09090909090909091,167,181
88,33.13725490196078,32.73703041144901,0.10526315789473684,0.09090909090909091,169,183
89,33.52941176470588,33.09481216457961,0.1,0.09090909090909091,171,185
90,33.92156862745098,33.452593917710196,0.10526315789473684,0.09090909090909091,173,187
91,34.31372549019608,33.810375670840784,0.1,0.09090909090909091,175,189
92,34.509803921568626,33.98926654740608,0.05263157894736842,0.045454545454545456,176,190
93,34.705882352941174,34.16815742397138,0.05,0.045454545454545456,177,191
94,35.09803921568627,34.52593917710197,0.10526315789473684,0.09090909090909091,179,193
95,35.294117647058826,34.704830053667266,0.05555555555555555,0.045454545454545456,180,194
96,35.490196078431374,34.883720930232556,0.05263157894736842,0.045454545454545456,181,195
97,35.88235294117647,35.241502683363144,0.1,0.09090909090909091,183,197
98,36.27450980392157,35.59928443649374,0.1111111111111111,0.09090909090909091,185,199
99,36.666666666666664,35.95706618962433,0.1,0.09090909090909091,187,201
