turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.5686274509803921,1.2522361359570662,0.8,0.5714285714285714,8,7
3,2.941176470588235,2.6833631484794274,0.7,0.5333333333333333,15,15
4,4.313725490196078,3.9355992844364938,0.5833333333333334,0.3181818181818182,22,22
5,5.294117647058823,5.008944543828265,0.3333333333333333,0.2608695652173913,27,28
6,5.490196078431373,5.18783542039356,0.07692307692307693,0.03571428571428571,28,29
7,6.078431372549019,5.903398926654741,0.17647058823529413,0.13333333333333333,31,33
8,6.470588235294119,6.261180679785331,0.13333333333333333,0.06451612903225806,33,35
9,7.0588235294117645,6.797853309481217,0.15,0.09090909090909091,36,38
10,7.647058823529412,7.334525939177102,0.16666666666666666,0.08823529411764706,39,41
11,8.235294117647058,7.8711985688729875,0.13043478260869565,0.08108108108108109,42,44
12,8.823529411764707,8.407871198568873,0.14285714285714285,0.07894736842105263,45,47
13,9.215686274509805,8.765652951699463,0.08,0.04878048780487805,47,49
14,9.607843137254903,9.123434704830053,0.08695652173913043,0.047619047619047616,49,51
15,10.0,9.481216457960643,0.07142857142857142,0.045454545454545456,51,53
16,10.588235294117647,10.01788908765653,0.11538461538461539,0.06666666666666667,54,56
17,11.176470588235295,10.554561717352415,0.0967741935483871,0.06521739130434782,57,59
18,11.76470588235294,11.091234347048301,0.10714285714285714,0.06382978723404255,60,62
19,12.352941176470589,11.627906976744185,0.09090909090909091,0.061224489795918366,63,65
20,12.941176470588237,12.164579606440071,0.1,0.06,66,68
21,13.529411764705882,12.701252236135957,0.08333333333333333,0.057692307692307696,69,71
22,13.92156862745098,13.059033989266547,0.0625,0.038461538461538464,71,73
23,14.313725490196077,13.416815742397137,0.05405405405405406,0.03636363636363636,73,75
24,14.705882352941178,13.774597495527727,0.06060606060606061,0.03636363636363636,75,77
25,15.098039215686274,14.132379248658319,0.05263157894736842,0.03508771929824561,77,79
26,15.294117647058824,14.311270125223613,0.03125,0.017543859649122806,78,80
27,15.490196078431373,14.490161001788909,0.02631578947368421,0.017241379310344827,79,81
28,15.490196078431373,14.490161001788909,0.0,0.0,79,81
29,15.686274509803921,14.669051878354203,0.02702702702702703,0.017241379310344827,80,82
30,15.88235294117647,14.847942754919499,0.03125,0.017241379310344827,81,83
31,16.274509803921568,15.20572450805009,0.05555555555555555,0.03389830508474576,83,85
32,16.862745098039216,15.742397137745975,0.09090909090909091,0.05084745762711865,86,88
33,17.45098039215686,16.27906976744186,0.07894736842105263,0.05084745762711865,89,91
34,18.235294117647058,17.173524150268335,0.11764705882352941,0.0847457627118644,93,96
35,19.019607843137255,18.067978533094813,0.10526315789473684,0.08333333333333333,97,101
36,19.607843137254903,18.6046511627907,0.09090909090909091,0.05084745762711865,100,104
37,20.392156862745097,19.32021466905188,0.10810810810810811,0.06666666666666667,104,108
38,20.588235294117645,19.67799642218247,0.027777777777777776,0.03333333333333333,105,110
39,21.176470588235293,20.214669051878353,0.08108108108108109,0.05,108,113
40,22.15686274509804,21.10912343470483,0.14285714285714285,0.08196721311475409,113,118
41,22.745098039215687,21.645796064400717,0.07894736842105263,0.04918032786885246,116,121
42,23.137254901960784,22.003577817531305,0.06060606060606061,0.03278688524590164,118,123
43,23.72549019607843,22.54025044722719,0.07692307692307693,0.04838709677419355,121,126
44,24.509803921568626,23.25581395348837,0.11428571428571428,0.06451612903225806,125,130
45,25.098039215686274,23.792486583184257,0.07692307692307693,0.04838709677419355,128,133
46,25.68627450980392,24.329159212880143,0.08571428571428572,0.04838709677419355,131,136
47,26.27450980392157,24.86583184257603,0.07692307692307693,0.04838709677419355,134,139
48,26.666666666666668,25.223613595706617,0.05714285714285714,0.03225806451612903,136,141
49,27.254901960784313,25.760286225402506,0.07692307692307693,0.04838709677419355,139,144
50,27.647058823529413,26.118067978533094,0.058823529411764705,0.03225806451612903,141,146
51,28.03921568627451,26.475849731663686,0.05405405405405406,0.03225806451612903,143,148
52,28.431372549019606,26.833631484794275,0.05714285714285714,0.03225806451612903,145,150
53,28.823529411764703,27.191413237924866,0.05263157894736842,0.03225806451612903,147,152
54,29.215686274509807,27.72808586762075,0.05714285714285714,0.04838709677419355,149,155
55,29.607843137254903,28.085867620751344,0.05405405405405406,0.03225806451612903,151,157
56,30.0,28.44364937388193,0.05714285714285714,0.03225806451612903,153,159
57,30.392156862745097,28.80143112701252,0.05263157894736842,0.03225806451612903,155,161
58,30.784313725490197,29.159212880143116,0.058823529411764705,0.03225806451612903,157,163
59,31.176470588235293,29.5169946332737,0.05263157894736842,0.03225806451612903,159,165
60,31.76470588235294,30.05366726296959,0.08571428571428572,0.04838709677419355,162,168
61,32.35294117647059,30.590339892665476,0.07894736842105263,0.04838709677419355,165,171
62,32.745098039215684,31.12701252236136,0.05714285714285714,0.04838709677419355,167,174
63,32.94117647058823,31.305903398926656,0.02631578947368421,0.016129032258064516,168,175
64,33.13725490196078,31.48479427549195,0.02857142857142857,0.016129032258064516,169,176
65,33.72549019607843,32.021466905187836,0.07894736842105263,0.04838709677419355,172,179
66,34.31372549019608,32.55813953488372,0.08571428571428572,0.04838709677419355,175,182
67,34.705882352941174,32.91592128801431,0.05263157894736842,0.03225806451612903,177,184
68,35.09803921568627,33.452593917710196,0.05714285714285714,0.04838709677419355,179,187
69,35.490196078431374,33.810375670840784,0.05263157894736842,0.03225806451612903,181,189
70,36.07843137254902,34.34704830053667,0.08333333333333333,0.04838709677419355,184,192
71,36.470588235294116,34.704830053667266,0.05405405405405406,0.03225806451612903,186,194
72,37.05882352941177,35.241502683363144,0.08571428571428572,0.04838709677419355,189,197
73,37.450980392156865,35.59928443649374,0.05263157894736842,0.03225806451612903,191,199
74,38.03921568627451,36.135957066189626,0.08571428571428572,0.04838709677419355,194,202
75,38.43137254901961,36.493738819320214,0.05128205128205128,0.03225806451612903,196,204
76,38.62745098039216,36.85152057245081,0.02857142857142857,0.03225806451612903,197,206
77,38.82352941176471,37.0304114490161,0.02702702702702703,0.016129032258064516,198,207
78,39.21568627450981,37.38819320214669,0.058823529411764705,0.03225806451612903,200,209
79,39.6078431372549,37.924865831842574,0.05263157894736842,0.04838709677419355,202,212
80,39.80392156862745,38.10375670840787,0.02857142857142857,0.016129032258064516,203,213
81,40.19607843137255,38.46153846153847,0.05128205128205128,0.03278688524590164,205,215
82,40.78431372549019,38.998211091234346,0.08571428571428572,0.04838709677419355,208,218
83,41.17647058823529,39.35599284436494,0.05263157894736842,0.03225806451612903,210,220
84,41.76470588235294,39.89266547406082,0.08823529411764706,0.04838709677419355,213,223
85,42.15686274509804,40.429338103756706,0.05263157894736842,0.04838709677419355,215,226
86,42.549019607843135,40.7871198568873,0.058823529411764705,0.03225806451612903,217,228
87,42.745098039215684,41.14490161001789,0.02564102564102564,0.03225806451612903,218,230
88,42.94117647058823,41.32379248658318,0.029411764705882353,0.016129032258064516,219,231
89,43.333333333333336,41.681574239713775,0.05263157894736842,0.03225806451612903,221,233
90,43.92156862745098,42.21824686940966,0.08571428571428572,0.04838709677419355,224,236
91,44.31372549019608,42.57602862254025,0.05263157894736842,0.03225806451612903,226,238
92,44.70588235294118,42.93381037567084,0.05714285714285714,0.03225806451612903,228,240
93,45.294117647058826,43.47048300536673,0.07692307692307693,0.04838709677419355,231,243
94,45.68627450980392,44.00715563506261,0.05714285714285714,0.04838709677419355,233,246
95,46.07843137254902,44.364937388193205,0.05263157894736842,0.03225806451612903,235,248
96,46.27450980392157,44.72271914132379,0.02857142857142857,0.03225806451612903,236,250
97,46.666666666666664,45.08050089445438,0.05263157894736842,0.03225806451612903,238,252
98,46.86274509803921,45.796064400715565,0.02857142857142857,0.06451612903225806,239,256
99,47.05882352941176,45.97495527728086,0.02564102564102564,0.016129032258064516,240,257
