turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.5686274509803921,1.2522361359570662,0.8,0.5714285714285714,8,7
3,2.549019607843137,2.146690518783542,0.625,0.4166666666666667,13,12
4,4.117647058823529,3.5778175313059033,0.6153846153846154,0.4,21,20
5,5.294117647058823,4.651162790697675,0.42857142857142855,0.3,27,26
6,5.88235294117647,5.545617173524151,0.1875,0.18518518518518517,30,31
7,6.470588235294119,6.082289803220036,0.17647058823529413,0.1111111111111111,33,34
8,7.0588235294117645,6.618962432915922,0.16666666666666666,0.1,36,37
9,7.450980392156863,6.976744186046512,0.1111111111111111,0.06666666666666667,38,39
10,7.8431372549019605,7.334525939177102,0.1,0.06060606060606061,40,41
11,8.03921568627451,7.6923076923076925,0.05263157894736842,0.06060606060606061,41,43
12,8.235294117647058,7.8711985688729875,0.047619047619047616,0.027777777777777776,42,44
13,8.627450980392156,8.228980322003578,0.09523809523809523,0.05555555555555555,44,46
14,8.823529411764707,8.586762075134168,0.045454545454545456,0.05405405405405406,45,48
15,9.215686274509805,8.94454382826476,0.09090909090909091,0.05263157894736842,47,50
16,10.0,9.66010733452594,0.16,0.10526315789473684,51,54
17,10.980392156862745,10.554561717352415,0.19230769230769232,0.125,56,59
18,11.568627450980392,11.270125223613595,0.125,0.1,59,63
19,11.76470588235294,11.627906976744185,0.04,0.04878048780487805,60,65
20,11.96078431372549,11.806797853309481,0.04,0.024390243902439025,61,66
21,12.352941176470589,12.164579606440071,0.08,0.047619047619047616,63,68
22,12.549019607843137,12.522361359570661,0.04,0.047619047619047616,64,70
23,12.745098039215685,12.701252236135957,0.04,0.023809523809523808,65,71
24,12.745098039215685,12.880143112701253,0.0,0.023809523809523808,65,72
25,12.745098039215685,12.880143112701253,0.0,0.0,65,72
26,12.941176470588237,13.059033989266547,0.038461538461538464,0.023255813953488372,66,73
27,13.137254901960786,13.237924865831843,0.038461538461538464,0.022727272727272728,67,74
28,13.137254901960786,13.416815742397137,0.0,0.022727272727272728,67,75
29,13.137254901960786,13.416815742397137,0.0,0.0,67,75
30,13.333333333333334,13.595706618962433,0.03571428571428571,0.022222222222222223,68,76
31,13.333333333333334,13.595706618962433,0.0,0.0,68,76
32,13.333333333333334,13.595706618962433,0.0,0.0,68,76
33,13.333333333333334,13.774597495527727,0.0,0.022222222222222223,68,77
34,13.333333333333334,13.953488372093023,0.0,0.022222222222222223,68,78
35,13.333333333333334,13.953488372093023,0.0,0.0,68,78
36,13.333333333333334,13.953488372093023,0.0,0.0,68,78
37,13.333333333333334,13.953488372093023,0.0,0.0,68,78
38,13.333333333333334,13.953488372093023,0.0,0.0,68,78
39,13.333333333333334,13.953488372093023,0.0,0.0,68,78
40,13.333333333333334,13.953488372093023,0.0,0.0,68,78
41,13.333333333333334,13.953488372093023,0.0,0.0,68,78
42,13.333333333333334,13.953488372093023,0.0,0.0,68,78
43,13.529411764705882,14.132379248658319,0.034482758620689655,0.02040816326530612,69,79
44,13.725490196078432,14.311270125223613,0.03125,0.02040816326530612,70,80
45,13.92156862745098,14.490161001788909,0.03125,0.020833333333333332,71,81
46,14.117647058823529,14.669051878354203,0.03225806451612903,0.0196078431372549,72,82
47,14.313725490196077,14.847942754919499,0.03225806451612903,0.02,73,83
48,14.50980392156863,15.026833631484795,0.03125,0.02040816326530612,74,84
49,14.50980392156863,15.026833631484795,0.0,0.0,74,84
50,14.50980392156863,15.20572450805009,0.0,0.0196078431372549,74,85
51,14.50980392156863,15.20572450805009,0.0,0.0,74,85
52,14.901960784313726,15.56350626118068,0.06060606060606061,0.04,76,87
53,15.294117647058824,15.92128801431127,0.06060606060606061,0.038461538461538464,78,89
54,15.686274509803921,16.27906976744186,0.06451612903225806,0.038461538461538464,80,91
55,16.07843137254902,16.636851520572453,0.06060606060606061,0.038461538461538464,82,93
56,16.470588235294116,16.99463327370304,0.0625,0.0392156862745098,84,95
57,16.666666666666664,17.352415026833633,0.03225806451612903,0.04,85,97
58,16.862745098039216,17.531305903398927,0.029411764705882353,0.02,86,98
59,17.058823529411764,17.71019677996422,0.030303030303030304,0.0196078431372549,87,99
60,17.254901960784313,18.067978533094813,0.029411764705882353,0.0392156862745098,88,101
61,17.45098039215686,18.246869409660107,0.03125,0.02,89,102
62,17.647058823529413,18.425760286225405,0.029411764705882353,0.02040816326530612,90,103
63,17.84313725490196,18.6046511627907,0.02857142857142857,0.02,91,104
64,17.84313725490196,18.783542039355993,0.0,0.0196078431372549,91,105
65,18.03921568627451,18.962432915921287,0.029411764705882353,0.02,92,106
66,18.627450980392158,19.499105545617173,0.09090909090909091,0.058823529411764705,95,109
67,19.019607843137255,19.856887298747765,0.05714285714285714,0.038461538461538464,97,111
68,19.215686274509807,20.03577817531306,0.029411764705882353,0.0196078431372549,98,112
69,19.80392156862745,20.572450805008945,0.08333333333333333,0.058823529411764705,101,115
70,20.392156862745097,21.10912343470483,0.08108108108108109,0.058823529411764705,104,118
71,20.588235294117645,21.288014311270125,0.02857142857142857,0.018867924528301886,105,119
72,21.176470588235293,21.82468694096601,0.08333333333333333,0.05454545454545454,108,122
73,21.764705882352942,22.361359570661897,0.08571428571428572,0.05660377358490566,111,125
74,22.35294117647059,22.898032200357783,0.08571428571428572,0.05454545454545454,114,128
75,22.941176470588236,23.43470483005367,0.08333333333333333,0.05660377358490566,117,131
76,23.52941176470588,23.97137745974955,0.08108108108108109,0.057692307692307696,120,134
77,23.92156862745098,24.329159212880143,0.05714285714285714,0.03636363636363636,122,136
78,24.509803921568626,24.86583184257603,0.08108108108108109,0.05555555555555555,125,139
79,24.901960784313726,25.223613595706617,0.05405405405405406,0.03773584905660377,127,141
80,25.49019607843137,25.760286225402506,0.08333333333333333,0.05660377358490566,130,144
81,26.078431372549023,26.29695885509839,0.08108108108108109,0.05555555555555555,133,147
82,26.47058823529412,26.654740608228984,0.05555555555555555,0.03636363636363636,135,149
83,27.058823529411764,27.191413237924866,0.08823529411764706,0.05555555555555555,138,152
84,27.647058823529413,27.72808586762075,0.08333333333333333,0.05555555555555555,141,155
85,28.235294117647058,28.264758497316638,0.07894736842105263,0.05555555555555555,144,158
86,28.823529411764703,28.80143112701252,0.08108108108108109,0.05660377358490566,147,161
87,29.215686274509807,29.159212880143116,0.05405405405405406,0.038461538461538464,149,163
88,29.80392156862745,29.695885509838998,0.07894736842105263,0.05660377358490566,152,166
89,30.392156862745097,30.23255813953488,0.08108108108108109,0.05555555555555555,155,169
90,30.980392156862745,30.76923076923077,0.08571428571428572,0.05454545454545454,158,172
91,31.176470588235293,31.12701252236136,0.02702702702702703,0.037037037037037035,159,174
92,31.960784313725487,31.84257602862254,0.10810810810810811,0.07272727272727272,163,178
93,32.35294117647059,32.379248658318424,0.05405405405405406,0.05555555555555555,165,181
94,32.745098039215684,32.73703041144901,0.05128205128205128,0.03773584905660377,167,183
95,33.13725490196078,33.09481216457961,0.05555555555555555,0.03636363636363636,169,185
96,33.52941176470588,33.631484794275494,0.05128205128205128,0.05357142857142857,171,188
97,33.72549019607843,33.810375670840784,0.025,0.018867924528301886,172,189
98,34.31372549019608,34.34704830053667,0.08108108108108109,0.05660377358490566,175,192
99,34.705882352941174,34.704830053667266,0.05405405405405406,0.037037037037037035,177,194
