turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.5686274509803921,1.2522361359570662,0.8,0.5714285714285714,8,7
3,2.549019607843137,2.3255813953488373,0.625,0.46153846153846156,13,13
4,4.313725490196078,3.9355992844364938,0.6428571428571429,0.4090909090909091,22,22
5,5.686274509803922,5.366726296958855,0.4375,0.32,29,30
6,6.2745098039215685,6.082289803220036,0.16666666666666666,0.13793103448275862,32,34
7,7.254901960784315,6.976744186046512,0.21739130434782608,0.15625,37,39
8,8.235294117647058,7.8711985688729875,0.2,0.14285714285714285,42,44
9,9.019607843137255,8.586762075134168,0.13793103448275862,0.10810810810810811,46,48
10,9.803921568627452,9.481216457960643,0.13793103448275862,0.11904761904761904,50,53
11,10.392156862745098,10.01788908765653,0.10344827586206896,0.06976744186046512,53,56
12,10.980392156862745,10.554561717352415,0.09375,0.06521739130434782,56,59
13,11.372549019607844,10.912343470483005,0.06451612903225806,0.043478260869565216,58,61
14,11.76470588235294,11.270125223613595,0.058823529411764705,0.041666666666666664,60,63
15,12.352941176470589,11.806797853309481,0.09090909090909091,0.0625,63,66
16,12.941176470588237,12.343470483005367,0.08333333333333333,0.06,66,69
17,13.725490196078432,13.059033989266547,0.1111111111111111,0.08,70,73
18,14.50980392156863,13.774597495527727,0.10526315789473684,0.07692307692307693,74,77
19,15.098039215686274,14.311270125223613,0.08333333333333333,0.057692307692307696,77,80
20,15.686274509803921,15.026833631484795,0.07894736842105263,0.07407407407407407,80,84
21,16.274509803921568,15.742397137745975,0.08108108108108109,0.07407407407407407,83,88
22,17.058823529411764,16.457960644007155,0.10526315789473684,0.07272727272727272,87,92
23,17.84313725490196,17.352415026833633,0.10526315789473684,0.09090909090909091,91,97
24,18.823529411764707,18.425760286225405,0.125,0.10526315789473684,96,103
25,19.607843137254903,19.32021466905188,0.0975609756097561,0.08928571428571429,100,108
26,20.392156862745097,20.03577817531306,0.09523809523809523,0.07017543859649122,104,112
27,21.176470588235293,20.930232558139537,0.09523809523809523,0.08928571428571429,108,117
28,21.568627450980394,21.46690518783542,0.045454545454545456,0.05172413793103448,110,120
29,22.15686274509804,22.182468694096602,0.06818181818181818,0.06896551724137931,113,124
30,22.35294117647059,22.898032200357783,0.022222222222222223,0.06896551724137931,114,128
31,22.745098039215687,23.25581395348837,0.045454545454545456,0.03571428571428571,116,130
32,23.333333333333332,23.792486583184257,0.06521739130434782,0.05084745762711865,119,133
33,23.92156862745098,24.508050089445437,0.06666666666666667,0.06779661016949153,122,137
34,24.509803921568626,25.044722719141323,0.06666666666666667,0.05,125,140
35,24.705882352941178,25.402504472271914,0.022727272727272728,0.03389830508474576,126,142
36,24.901960784313726,25.760286225402506,0.022222222222222223,0.03389830508474576,127,144
37,25.098039215686274,25.939177101967797,0.022222222222222223,0.016666666666666666,128,145
38,25.68627450980392,26.475849731663686,0.06382978723404255,0.04918032786885246,131,148
39,26.27450980392157,27.01252236135957,0.06521739130434782,0.05084745762711865,134,151
40,26.862745098039216,27.549194991055455,0.06382978723404255,0.04918032786885246,137,154
41,27.450980392156865,28.085867620751344,0.06666666666666667,0.05172413793103448,140,157
42,27.84313725490196,28.44364937388193,0.043478260869565216,0.03225806451612903,142,159
43,28.235294117647058,28.80143112701252,0.043478260869565216,0.03389830508474576,144,161
44,28.627450980392155,29.159212880143116,0.041666666666666664,0.03225806451612903,146,163
45,29.01960784313726,29.5169946332737,0.043478260869565216,0.03389830508474576,148,165
46,29.607843137254903,30.05366726296959,0.06521739130434782,0.05172413793103448,151,168
47,30.19607843137255,30.590339892665476,0.0625,0.05263157894736842,154,171
48,30.19607843137255,30.76923076923077,0.0,0.017241379310344827,154,172
49,30.58823529411765,31.12701252236136,0.044444444444444446,0.03508771929824561,156,174
50,30.980392156862745,31.48479427549195,0.043478260869565216,0.034482758620689655,158,176
51,31.372549019607842,31.84257602862254,0.043478260869565216,0.034482758620689655,160,178
52,31.56862745098039,32.021466905187836,0.02127659574468085,0.017241379310344827,161,179
53,31.960784313725487,32.379248658318424,0.0425531914893617,0.03508771929824561,163,181
54,32.35294117647059,32.73703041144901,0.0425531914893617,0.03508771929824561,165,183
55,32.549019607843135,32.91592128801431,0.02127659574468085,0.017241379310344827,166,184
56,32.94117647058823,33.273703041144906,0.0425531914893617,0.034482758620689655,168,186
57,33.33333333333333,33.631484794275494,0.043478260869565216,0.03508771929824561,170,188
58,33.52941176470588,33.810375670840784,0.021739130434782608,0.017241379310344827,171,189
59,34.11764705882353,34.34704830053667,0.061224489795918366,0.05172413793103448,174,192
60,34.705882352941174,34.883720930232556,0.0625,0.05084745762711865,177,195
61,35.294117647058826,35.42039355992844,0.06382978723404255,0.05172413793103448,180,198
62,35.88235294117647,35.95706618962433,0.06666666666666667,0.05172413793103448,183,201
63,36.470588235294116,36.493738819320214,0.06521739130434782,0.05263157894736842,186,204
64,37.05882352941177,37.0304114490161,0.06521739130434782,0.05172413793103448,189,207
65,37.450980392156865,37.38819320214669,0.0425531914893617,0.03389830508474576,191,209
66,38.03921568627451,37.924865831842574,0.0625,0.05172413793103448,194,212
67,38.43137254901961,38.28264758497317,0.041666666666666664,0.034482758620689655,196,214
68,38.62745098039216,38.46153846153847,0.02127659574468085,0.017241379310344827,197,215
69,39.01960784313726,38.81932021466905,0.043478260869565216,0.03508771929824561,199,217
70,39.01960784313726,38.81932021466905,0.0,0.0,199,217
71,39.411764705882355,39.17710196779964,0.0425531914893617,0.03571428571428571,201,219
72,40.0,39.89266547406082,0.061224489795918366,0.07142857142857142,204,223
73,40.588235294117645,40.429338103756706,0.06666666666666667,0.05263157894736842,207,226
74,40.98039215686274,40.7871198568873,0.041666666666666664,0.03508771929824561,209,228
75,41.37254901960784,41.14490161001789,0.0425531914893617,0.034482758620689655,211,230
76,41.96078431372549,41.681574239713775,0.06521739130434782,0.05263157894736842,214,233
77,42.549019607843135,42.21824686940966,0.06666666666666667,0.05263157894736842,217,236
78,43.13725490196079,42.75491949910555,0.0625,0.05263157894736842,220,239
79,43.72549019607843,43.29159212880143,0.0625,0.05263157894736842,223,242
80,44.31372549019608,43.82826475849731,0.0625,0.05263157894736842,226,245
81,44.70588235294118,44.18604651162791,0.044444444444444446,0.03508771929824561,228,247
82,45.09803921568628,44.543828264758496,0.0425531914893617,0.03571428571428571,230,249
83,45.68627450980392,45.08050089445438,0.06521739130434782,0.05357142857142857,233,252
84,46.27450980392157,45.61717352415027,0.06382978723404255,0.05357142857142857,236,255
85,46.86274509803921,46.15384615384615,0.06521739130434782,0.05454545454545454,239,258
86,47.45098039215686,46.69051878354204,0.0625,0.05357142857142857,242,261
87,48.03921568627451,47.227191413237925,0.06521739130434782,0.05454545454545454,245,264
88,48.431372549019606,47.76386404293381,0.041666666666666664,0.05357142857142857,247,267
89,48.627450980392155,47.9427549194991,0.020833333333333332,0.01818181818181818,248,268
90,48.8235294117647,48.1216457960644,0.020833333333333332,0.017857142857142856,249,269
91,49.2156862745098,48.479427549194995,0.0425531914893617,0.03571428571428571,251,271
92,49.80392156862745,49.01610017889087,0.0625,0.05263157894736842,254,274
93,50.3921568627451,49.55277280858677,0.0625,0.05172413793103448,257,277
94,50.98039215686274,50.268336314847936,0.06382978723404255,0.06896551724137931,260,281
95,51.37254901960784,50.62611806797853,0.043478260869565216,0.03389830508474576,262,283
96,51.76470588235295,50.98389982110913,0.041666666666666664,0.03389830508474576,264,285
97,52.156862745098046,51.341681574239715,0.0425531914893617,0.03389830508474576,266,287
98,52.352941176470594,51.699463327370296,0.02127659574468085,0.03508771929824561,267,289
99,52.54901960784314,51.878354203935594,0.021739130434782608,0.01818181818181818,268,290
