turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.6,7,6
3,1.9607843137254901,1.6100178890876566,0.6,0.5,10,9
4,2.549019607843137,2.146690518783542,0.5,0.42857142857142855,13,12
5,3.3333333333333335,2.862254025044723,0.5,0.4444444444444444,17,16
6,3.9215686274509802,3.3989266547406083,0.375,0.3333333333333333,20,19
7,4.313725490196078,3.9355992844364938,0.2222222222222222,0.3,22,22
8,4.705882352941177,4.293381037567084,0.25,0.18181818181818182,24,24
9,5.294117647058823,4.83005366726297,0.3,0.25,27,27
10,5.490196078431373,5.008944543828265,0.125,0.08333333333333333,28,28
11,5.686274509803922,5.366726296958855,0.1,0.15384615384615385,29,30
12,5.88235294117647,5.545617173524151,0.1,0.07142857142857142,30,31
13,6.2745098039215685,5.903398926654741,0.16666666666666666,0.14285714285714285,32,33
14,6.666666666666667,6.261180679785331,0.2222222222222222,0.13333333333333333,34,35
15,6.862745098039216,6.440071556350627,0.09090909090909091,0.0625,35,36
16,7.254901960784315,6.797853309481217,0.16666666666666666,0.11764705882352941,37,38
17,7.8431372549019605,7.334525939177102,0.1875,0.15789473684210525,40,41
18,8.431372549019608,7.8711985688729875,0.21428571428571427,0.14285714285714285,43,44
19,9.607843137254903,8.94454382826476,0.3333333333333333,0.25,49,50
20,10.196078431372548,9.838998211091235,0.16666666666666666,0.2,52,55
21,10.980392156862745,10.554561717352415,0.2,0.14285714285714285,56,59
22,11.568627450980392,11.091234347048301,0.15,0.10344827586206896,59,62
23,12.352941176470589,11.806797853309481,0.17391304347826086,0.13333333333333333,63,66
24,13.137254901960786,12.522361359570661,0.19047619047619047,0.13333333333333333,67,70
25,13.725490196078432,13.059033989266547,0.12,0.1,70,73
26,14.313725490196077,13.774597495527727,0.13043478260869565,0.13333333333333333,73,77
27,14.901960784313726,14.311270125223613,0.12,0.1,76,80
28,15.490196078431373,14.847942754919499,0.13636363636363635,0.1,79,83
29,16.07843137254902,15.384615384615385,0.12,0.1,82,86
30,16.862745098039216,16.100178890876567,0.14814814814814814,0.13333333333333333,86,90
31,17.84313725490196,16.99463327370304,0.18518518518518517,0.16666666666666666,91,95
32,18.627450980392158,17.71019677996422,0.14285714285714285,0.13333333333333333,95,99
33,19.411764705882355,18.425760286225405,0.14285714285714285,0.13333333333333333,99,103
34,20.0,18.962432915921287,0.11538461538461539,0.1,102,106
35,20.392156862745097,19.32021466905188,0.07407407407407407,0.06666666666666667,104,108
36,20.784313725490197,19.67799642218247,0.07407407407407407,0.06666666666666667,106,110
37,21.372549019607842,20.214669051878353,0.10344827586206896,0.1,109,113
38,21.96078431372549,20.75134168157424,0.12,0.1,112,116
39,22.54901960784314,21.288014311270125,0.1111111111111111,0.1,115,119
40,22.941176470588236,21.82468694096601,0.07142857142857142,0.1,117,122
41,23.333333333333332,22.182468694096602,0.08,0.06666666666666667,119,124
42,23.72549019607843,22.54025044722719,0.07692307692307693,0.06666666666666667,121,126
43,24.11764705882353,22.898032200357783,0.08695652173913043,0.06666666666666667,123,128
44,24.313725490196077,23.076923076923077,0.04,0.03333333333333333,124,129
45,24.705882352941178,23.43470483005367,0.06896551724137931,0.06666666666666667,126,131
46,25.294117647058822,23.97137745974955,0.11538461538461539,0.1,129,134
47,25.882352941176475,24.508050089445437,0.11538461538461539,0.1,132,137
48,26.078431372549023,24.686940966010734,0.037037037037037035,0.03333333333333333,133,138
49,26.47058823529412,25.044722719141323,0.08,0.06666666666666667,135,140
50,26.862745098039216,25.402504472271914,0.08,0.06666666666666667,137,142
51,27.450980392156865,25.939177101967797,0.10714285714285714,0.1,140,145
52,28.03921568627451,26.475849731663686,0.10714285714285714,0.1,143,148
53,28.235294117647058,26.654740608228984,0.038461538461538464,0.03333333333333333,144,149
54,28.627450980392155,27.01252236135957,0.07407407407407407,0.06666666666666667,146,151
55,29.215686274509807,27.549194991055455,0.10714285714285714,0.1,149,154
56,29.80392156862745,28.085867620751344,0.10714285714285714,0.1,152,157
57,30.58823529411765,28.80143112701252,0.13333333333333333,0.13333333333333333,156,161
58,30.980392156862745,29.338103756708406,0.07407407407407407,0.1,158,164
59,31.372549019607842,29.695885509838998,0.06896551724137931,0.06666666666666667,160,166
60,31.56862745098039,29.874776386404296,0.037037037037037035,0.03333333333333333,161,167
61,31.960784313725487,30.23255813953488,0.07692307692307693,0.06666666666666667,163,169
62,32.549019607843135,30.76923076923077,0.10714285714285714,0.1,166,172
63,33.33333333333333,31.48479427549195,0.13793103448275862,0.13793103448275862,170,176
64,34.11764705882353,32.379248658318424,0.13333333333333333,0.16666666666666666,174,181
65,34.90196078431372,33.09481216457961,0.13793103448275862,0.13793103448275862,178,185
66,35.68627450980392,33.98926654740608,0.14814814814814814,0.16666666666666666,182,190
67,36.27450980392157,34.704830053667266,0.1,0.13333333333333333,185,194
68,36.86274509803922,35.42039355992844,0.1111111111111111,0.13333333333333333,188,198
69,37.64705882352941,36.135957066189626,0.13793103448275862,0.13333333333333333,192,202
70,38.03921568627451,36.67262969588551,0.07142857142857142,0.1,194,205
71,38.62745098039216,37.2093023255814,0.10714285714285714,0.1,197,208
72,39.6078431372549,38.10375670840787,0.1724137931034483,0.16666666666666666,202,213
73,40.19607843137255,38.81932021466905,0.1111111111111111,0.13333333333333333,205,217
74,40.3921568627451,38.998211091234346,0.034482758620689655,0.03571428571428571,206,218
75,40.98039215686274,39.53488372093023,0.10344827586206896,0.10344827586206896,209,221
76,41.568627450980394,40.250447227191415,0.10714285714285714,0.13333333333333333,212,225
77,42.15686274509804,40.7871198568873,0.10344827586206896,0.1,215,228
78,42.35294117647059,41.14490161001789,0.03571428571428571,0.06896551724137931,216,230
79,42.549019607843135,41.32379248658318,0.034482758620689655,0.03333333333333333,217,231
80,43.13725490196079,41.86046511627907,0.10714285714285714,0.1,220,234
81,43.529411764705884,42.21824686940966,0.07142857142857142,0.06666666666666667,222,236
82,44.11764705882353,42.75491949910555,0.1,0.1,225,239
83,44.509803921568626,43.112701252236135,0.07407407407407407,0.06666666666666667,227,241
84,44.70588235294118,43.29159212880143,0.038461538461538464,0.03333333333333333,228,242
85,45.09803921568628,43.64937388193202,0.06896551724137931,0.06666666666666667,230,244
86,45.490196078431374,44.00715563506261,0.07692307692307693,0.06666666666666667,232,246
87,46.07843137254902,44.543828264758496,0.10714285714285714,0.10344827586206896,235,249
88,46.470588235294116,44.90161001788909,0.07142857142857142,0.07142857142857142,237,251
89,47.05882352941176,45.43828264758497,0.1111111111111111,0.1,240,254
90,47.647058823529406,45.97495527728086,0.10714285714285714,0.1,243,257
91,48.03921568627451,46.332737030411444,0.07142857142857142,0.06666666666666667,245,259
92,48.8235294117647,47.227191413237925,0.13793103448275862,0.16666666666666666,249,264
93,49.411764705882355,47.76386404293381,0.10714285714285714,0.1,252,267
94,50.0,48.479427549194995,0.1111111111111111,0.13333333333333333,255,271
95,50.588235294117645,49.01610017889087,0.10344827586206896,0.1,258,274
96,50.78431372549019,49.19499105545617,0.034482758620689655,0.03333333333333333,259,275
97,51.17647058823529,49.73166368515206,0.06896551724137931,0.1,261,278
98,51.37254901960784,49.910554561717355,0.03571428571428571,0.03333333333333333,262,279
99,51.37254901960784,49.910554561717355,0.0,0.0,262,279
