agent_id,start_pos,path
0,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
1,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
2,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
3,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
4,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
5,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
6,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
7,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
8,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
9,A5187,"['A5187', 'A5186', 'A5180', 'A5181', 'A5182', 'A5183', 'A5182', 'A5165', 'A5705', 'A5177', 'A5178', 'A5177', 'A5706', 'A5166', 'A5243', 'A5242', 'A5244', 'A5247', 'A5244', 'A5707', 'A5246', 'A5245', 'A5246', 'A5707', 'A5251', 'N-0512', 'A5251', 'A5250', 'A5252', 'A5253', 'A5254', 'A5255', 'A5254', 'A5260', 'A5257', 'N-0509', 'A5257', 'A5256', 'A5253', 'A5252', 'A5265', 'A5263', 'A5261', 'A5259', 'A5256', 'A5257', 'A5260', 'A5254', 'A5253', 'A5256', 'A5259', 'A5261', 'N-0510', 'A5262', 'A5267', 'A5266', 'A5269', 'A5709', 'A5270', 'A5271', 'A5270', 'A5272', 'A5273', 'A5274', 'A5304', 'A5303', 'A5302', 'A5299', 'N-0508', 'A5299', 'A5298', 'A5297', 'A5296', 'A5295', 'A5294', 'A5292', 'A5291', 'A5290', 'A5289', 'A5288', 'A5287', 'A5286', 'A5284', 'A5282', 'A5281', 'N-0501', 'N-0500', 'N-0502', 'N-0504', 'N-0502', 'N-0506', 'N-0502', 'N-0500', 'A5280', 'A5520', 'A5278', 'A5277', 'A5274', 'A5273', 'A5272']"
