turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,3.0927835051546393,1.680672268907563,1.0,0.5,3,2
2,5.154639175257731,3.361344537815126,0.6666666666666666,0.5,5,4
3,7.216494845360824,5.042016806722689,0.5,0.4,7,6
4,9.278350515463918,6.722689075630252,0.4,0.3333333333333333,9,8
5,11.34020618556701,9.243697478991598,0.25,0.375,11,11
6,13.402061855670103,11.76470588235294,0.2222222222222222,0.3,13,14
7,16.49484536082474,14.285714285714285,0.2727272727272727,0.2727272727272727,16,17
8,19.587628865979383,17.647058823529413,0.23076923076923078,0.2857142857142857,19,21
9,22.68041237113402,20.168067226890756,0.1875,0.2,22,24
10,24.742268041237114,22.689075630252102,0.14285714285714285,0.1875,24,27
11,26.804123711340207,25.210084033613445,0.14285714285714285,0.1875,26,30
12,26.804123711340207,26.89075630252101,0.0,0.1111111111111111,26,32
13,26.804123711340207,26.89075630252101,0.0,0.0,26,32
14,26.804123711340207,26.89075630252101,0.0,0.0,26,32
15,27.835051546391753,28.57142857142857,0.058823529411764705,0.09090909090909091,27,34
16,28.865979381443296,29.411764705882355,0.05263157894736842,0.041666666666666664,28,35
17,30.927835051546392,31.092436974789916,0.1,0.09090909090909091,30,37
18,31.958762886597935,32.773109243697476,0.05,0.08695652173913043,31,39
19,31.958762886597935,33.61344537815126,0.0,0.038461538461538464,31,40
20,32.98969072164948,34.45378151260504,0.043478260869565216,0.04,32,41
21,34.02061855670103,35.294117647058826,0.04,0.038461538461538464,33,42
22,36.08247422680412,36.97478991596639,0.08333333333333333,0.07692307692307693,35,44
23,39.175257731958766,39.49579831932773,0.125,0.11538461538461539,38,47
24,42.2680412371134,42.016806722689076,0.12,0.10714285714285714,41,50
25,44.329896907216494,44.537815126050425,0.08333333333333333,0.1111111111111111,43,53
26,46.391752577319586,47.05882352941176,0.08,0.10714285714285714,45,56
27,48.45360824742268,48.739495798319325,0.07692307692307693,0.06896551724137931,47,58
28,50.51546391752577,50.42016806722689,0.06666666666666667,0.0625,49,60
29,53.608247422680414,52.94117647058824,0.09375,0.09375,52,63
30,54.63917525773196,53.78151260504202,0.03333333333333333,0.03125,53,64
31,56.70103092783505,55.46218487394958,0.06896551724137931,0.0625,55,66
32,58.76288659793815,57.98319327731093,0.06666666666666667,0.08333333333333333,57,69
33,61.855670103092784,60.50420168067227,0.08571428571428572,0.08108108108108109,60,72
34,64.94845360824742,63.86554621848739,0.08823529411764706,0.11428571428571428,63,76
35,67.0103092783505,66.38655462184873,0.0625,0.08571428571428572,65,79
36,68.04123711340206,68.0672268907563,0.034482758620689655,0.05714285714285714,66,81
37,69.0721649484536,68.90756302521008,0.03571428571428571,0.029411764705882353,67,82
38,72.16494845360825,72.26890756302521,0.1,0.10526315789473684,70,86
39,74.22680412371135,73.94957983193278,0.06060606060606061,0.05714285714285714,72,88
40,75.25773195876289,74.78991596638656,0.02857142857142857,0.027777777777777776,73,89
41,76.28865979381443,75.63025210084034,0.03225806451612903,0.029411764705882353,74,90
42,78.35051546391753,77.31092436974791,0.058823529411764705,0.05555555555555555,76,92
43,79.38144329896907,78.15126050420169,0.034482758620689655,0.02857142857142857,77,93
44,80.41237113402062,78.99159663865547,0.029411764705882353,0.02702702702702703,78,94
45,80.41237113402062,78.99159663865547,0.0,0.0,78,94
46,80.41237113402062,78.99159663865547,0.0,0.0,78,94
47,80.41237113402062,78.99159663865547,0.0,0.0,78,94
48,81.44329896907216,79.83193277310924,0.03225806451612903,0.029411764705882353,79,95
49,82.4742268041237,80.67226890756302,0.027777777777777776,0.02564102564102564,80,96
50,82.4742268041237,80.67226890756302,0.0,0.0,80,96
51,83.50515463917526,81.5126050420168,0.03125,0.03125,81,97
52,84.5360824742268,82.35294117647058,0.030303030303030304,0.02702702702702703,82,98
53,86.5979381443299,84.03361344537815,0.058823529411764705,0.05555555555555555,84,100
54,88.65979381443299,85.71428571428571,0.05555555555555555,0.05263157894736842,86,102
55,89.69072164948454,86.5546218487395,0.02857142857142857,0.02857142857142857,87,103
56,91.75257731958763,88.23529411764706,0.06060606060606061,0.05405405405405406,89,105
57,92.78350515463917,89.07563025210085,0.02857142857142857,0.027777777777777776,90,106
58,94.84536082474226,90.75630252100841,0.05555555555555555,0.05128205128205128,92,108
59,96.90721649484536,93.27731092436974,0.0625,0.07692307692307693,94,111
60,97.9381443298969,94.9579831932773,0.03225806451612903,0.05263157894736842,95,113
61,97.9381443298969,94.9579831932773,0.0,0.0,95,113
62,98.96907216494846,95.7983193277311,0.027777777777777776,0.027777777777777776,96,114
63,100.0,97.47899159663865,0.02702702702702703,0.05263157894736842,97,116
64,100.0,97.47899159663865,0.0,0.0,97,116
65,100.0,97.47899159663865,0.0,0.0,97,116
66,100.0,98.31932773109243,0.0,0.027777777777777776,97,117
67,100.0,98.31932773109243,0.0,0.0,97,117
68,100.0,98.31932773109243,0.0,0.0,97,117
69,100.0,99.15966386554622,0.0,0.02702702702702703,97,118
70,100.0,100.0,0.0,0.027777777777777776,97,119
