turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,5.154639175257731,3.361344537815126,1.0,0.75,5,4
2,9.278350515463918,6.722689075630252,0.8,0.6666666666666666,9,8
3,13.402061855670103,10.92436974789916,0.5,0.625,13,13
4,18.556701030927837,15.126050420168067,0.5,0.5555555555555556,18,18
5,23.711340206185564,19.327731092436977,0.5,0.45454545454545453,23,23
6,25.773195876288657,22.689075630252102,0.2,0.3333333333333333,25,27
7,29.896907216494846,26.05042016806723,0.36363636363636365,0.26666666666666666,29,31
8,35.051546391752574,31.092436974789916,0.3125,0.35294117647058826,34,37
9,42.2680412371134,37.81512605042017,0.4117647058823529,0.4,41,45
10,50.51546391752577,45.378151260504204,0.36363636363636365,0.391304347826087,49,54
11,55.670103092783506,52.94117647058824,0.22727272727272727,0.4090909090909091,54,63
12,62.88659793814433,59.66386554621849,0.2916666666666667,0.32,61,71
13,69.0721649484536,64.70588235294117,0.23076923076923078,0.23076923076923078,67,77
14,74.22680412371135,70.58823529411765,0.19230769230769232,0.25925925925925924,72,84
15,76.28865979381443,73.94957983193278,0.08,0.15384615384615385,74,88
16,78.35051546391753,75.63025210084034,0.06896551724137931,0.07407407407407407,76,90
17,79.38144329896907,77.31092436974791,0.038461538461538464,0.07407407407407407,77,92
18,81.44329896907216,79.83193277310924,0.07692307692307693,0.10714285714285714,79,95
19,81.44329896907216,80.67226890756302,0.0,0.034482758620689655,79,96
20,83.50515463917526,82.35294117647058,0.06451612903225806,0.07142857142857142,81,98
21,84.5360824742268,84.03361344537815,0.034482758620689655,0.058823529411764705,82,100
22,84.5360824742268,84.03361344537815,0.0,0.0,82,100
23,84.5360824742268,84.03361344537815,0.0,0.0,82,100
24,85.56701030927834,84.87394957983193,0.030303030303030304,0.02702702702702703,83,101
25,87.62886597938144,86.5546218487395,0.05714285714285714,0.05263157894736842,85,103
26,88.65979381443299,88.23529411764706,0.03125,0.05405405405405406,86,105
27,89.69072164948454,89.07563025210085,0.029411764705882353,0.025,87,106
28,90.72164948453609,89.91596638655463,0.03225806451612903,0.027777777777777776,88,107
29,91.75257731958763,90.75630252100841,0.02857142857142857,0.02564102564102564,89,108
30,92.78350515463917,91.59663865546219,0.02857142857142857,0.02631578947368421,90,109
31,92.78350515463917,91.59663865546219,0.0,0.0,90,109
32,93.81443298969072,92.43697478991596,0.027777777777777776,0.02564102564102564,91,110
33,94.84536082474226,93.27731092436974,0.027777777777777776,0.02631578947368421,92,111
34,95.87628865979381,94.11764705882352,0.02702702702702703,0.023255813953488372,93,112
35,96.90721649484536,94.9579831932773,0.02564102564102564,0.025,94,113
36,97.9381443298969,95.7983193277311,0.025,0.023255813953488372,95,114
37,97.9381443298969,95.7983193277311,0.0,0.0,95,114
38,98.96907216494846,96.63865546218487,0.024390243902439025,0.022727272727272728,96,115
39,100.0,97.47899159663865,0.024390243902439025,0.022222222222222223,97,116
40,100.0,97.47899159663865,0.0,0.0,97,116
41,100.0,97.47899159663865,0.0,0.0,97,116
42,100.0,98.31932773109243,0.0,0.023255813953488372,97,117
43,100.0,98.31932773109243,0.0,0.0,97,117
44,100.0,98.31932773109243,0.0,0.0,97,117
45,100.0,99.15966386554622,0.0,0.022222222222222223,97,118
46,100.0,99.15966386554622,0.0,0.0,97,118
47,100.0,99.15966386554622,0.0,0.0,97,118
48,100.0,99.15966386554622,0.0,0.0,97,118
49,100.0,99.15966386554622,0.0,0.0,97,118
50,100.0,99.15966386554622,0.0,0.0,97,118
51,100.0,99.15966386554622,0.0,0.0,97,118
52,100.0,100.0,0.0,0.023255813953488372,97,119
