turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.1764705882352942,1.073345259391771,0.6666666666666666,0.6,6,6
3,1.5686274509803921,1.4311270125223614,0.4,0.2857142857142857,8,8
4,1.9607843137254901,1.9677996422182469,0.4,0.3333333333333333,10,11
5,2.156862745098039,2.146690518783542,0.16666666666666666,0.1,11,12
6,2.549019607843137,2.5044722719141324,0.2857142857142857,0.16666666666666666,13,14
7,3.1372549019607843,3.041144901610018,0.3333333333333333,0.2,16,17
8,3.7254901960784315,3.7567084078711988,0.3,0.23529411764705882,19,21
9,4.509803921568627,4.47227191413238,0.3076923076923077,0.21052631578947367,23,25
10,5.098039215686274,5.008944543828265,0.25,0.14285714285714285,26,28
11,5.88235294117647,6.082289803220036,0.23529411764705882,0.2608695652173913,30,34
12,6.862745098039216,6.976744186046512,0.2631578947368421,0.22727272727272727,35,39
13,7.450980392156863,7.5134168157423975,0.15789473684210525,0.12,38,42
14,8.235294117647058,8.228980322003578,0.2,0.16,42,46
15,9.019607843137255,8.94454382826476,0.2,0.15384615384615385,46,50
16,9.803921568627452,9.66010733452594,0.2,0.15384615384615385,50,54
17,10.588235294117647,10.37567084078712,0.18181818181818182,0.14285714285714285,54,58
18,11.568627450980392,11.270125223613595,0.19230769230769232,0.18518518518518517,59,63
19,12.156862745098039,11.806797853309481,0.14285714285714285,0.1111111111111111,62,66
20,12.549019607843137,12.343470483005367,0.07692307692307693,0.10344827586206896,64,69
21,12.941176470588237,12.701252236135957,0.08,0.07142857142857142,66,71
22,13.92156862745098,13.595706618962433,0.2,0.1724137931034483,71,76
23,14.705882352941178,14.311270125223613,0.16,0.14285714285714285,75,80
24,15.098039215686274,14.847942754919499,0.08,0.1,77,83
25,15.686274509803921,15.384615384615385,0.1111111111111111,0.10714285714285714,80,86
26,16.274509803921568,15.92128801431127,0.12,0.10344827586206896,83,89
27,16.862745098039216,16.457960644007155,0.12,0.10344827586206896,86,92
28,17.45098039215686,17.173524150268335,0.11538461538461539,0.14285714285714285,89,96
29,17.647058823529413,17.531305903398927,0.04,0.07142857142857142,90,98
30,17.84313725490196,17.71019677996422,0.038461538461538464,0.03571428571428571,91,99
31,18.03921568627451,17.88908765652952,0.03571428571428571,0.034482758620689655,92,100
32,18.823529411764707,18.6046511627907,0.14814814814814814,0.13793103448275862,96,104
33,19.607843137254903,19.32021466905188,0.14285714285714285,0.13333333333333333,100,108
34,19.80392156862745,19.856887298747765,0.03571428571428571,0.10344827586206896,101,111
35,20.19607843137255,20.214669051878353,0.07142857142857142,0.06896551724137931,103,113
36,20.588235294117645,20.572450805008945,0.06896551724137931,0.06896551724137931,105,115
37,20.980392156862745,20.930232558139537,0.08,0.07142857142857142,107,117
38,21.176470588235293,21.288014311270125,0.03571428571428571,0.07692307692307693,108,119
39,21.372549019607842,21.46690518783542,0.038461538461538464,0.03571428571428571,109,120
40,21.568627450980394,21.82468694096601,0.034482758620689655,0.07142857142857142,110,122
41,21.764705882352942,22.003577817531305,0.038461538461538464,0.034482758620689655,111,123
42,22.15686274509804,22.361359570661897,0.07692307692307693,0.06896551724137931,113,125
43,22.54901960784314,22.719141323792485,0.07692307692307693,0.06896551724137931,115,127
44,22.941176470588236,23.076923076923077,0.07142857142857142,0.06896551724137931,117,129
45,23.333333333333332,23.43470483005367,0.08,0.06666666666666667,119,131
46,23.72549019607843,23.792486583184257,0.08,0.06666666666666667,121,133
47,23.92156862745098,23.97137745974955,0.037037037037037035,0.03333333333333333,122,134
48,24.11764705882353,24.329159212880143,0.038461538461538464,0.06896551724137931,123,136
49,24.313725490196077,24.508050089445437,0.037037037037037035,0.03333333333333333,124,137
50,24.509803921568626,24.686940966010734,0.038461538461538464,0.03571428571428571,125,138
51,24.901960784313726,25.044722719141323,0.06896551724137931,0.06896551724137931,127,140
52,25.098039215686274,25.402504472271914,0.037037037037037035,0.07142857142857142,128,142
53,25.098039215686274,25.402504472271914,0.0,0.0,128,142
54,25.098039215686274,25.402504472271914,0.0,0.0,128,142
55,25.294117647058822,25.581395348837212,0.034482758620689655,0.03333333333333333,129,143
56,25.49019607843137,25.760286225402506,0.034482758620689655,0.034482758620689655,130,144
57,25.68627450980392,25.939177101967797,0.037037037037037035,0.03571428571428571,131,145
58,25.882352941176475,26.118067978533094,0.03571428571428571,0.034482758620689655,132,146
59,25.882352941176475,26.118067978533094,0.0,0.0,132,146
60,25.882352941176475,26.475849731663686,0.0,0.06666666666666667,132,148
61,25.882352941176475,26.475849731663686,0.0,0.0,132,148
62,25.882352941176475,26.475849731663686,0.0,0.0,132,148
63,26.078431372549023,26.654740608228984,0.04,0.03571428571428571,133,149
64,26.27450980392157,26.833631484794275,0.03571428571428571,0.03333333333333333,134,150
65,26.27450980392157,26.833631484794275,0.0,0.0,134,150
66,26.47058823529412,27.01252236135957,0.04,0.034482758620689655,135,151
67,26.666666666666668,27.191413237924866,0.037037037037037035,0.034482758620689655,136,152
68,26.862745098039216,27.370304114490164,0.038461538461538464,0.037037037037037035,137,153
69,27.058823529411764,27.549194991055455,0.038461538461538464,0.034482758620689655,138,154
70,27.058823529411764,27.549194991055455,0.0,0.0,138,154
71,27.254901960784313,27.72808586762075,0.037037037037037035,0.03333333333333333,139,155
72,27.450980392156865,27.906976744186046,0.038461538461538464,0.03571428571428571,140,156
73,27.450980392156865,27.906976744186046,0.0,0.0,140,156
74,27.450980392156865,27.906976744186046,0.0,0.0,140,156
75,27.450980392156865,27.906976744186046,0.0,0.0,140,156
76,27.450980392156865,27.906976744186046,0.0,0.0,140,156
77,27.450980392156865,27.906976744186046,0.0,0.0,140,156
78,27.450980392156865,27.906976744186046,0.0,0.0,140,156
79,27.450980392156865,27.906976744186046,0.0,0.0,140,156
80,27.450980392156865,27.906976744186046,0.0,0.0,140,156
81,27.647058823529413,28.085867620751344,0.037037037037037035,0.03333333333333333,141,157
82,27.84313725490196,28.264758497316638,0.03333333333333333,0.03571428571428571,142,158
83,28.03921568627451,28.44364937388193,0.034482758620689655,0.038461538461538464,143,159
84,28.235294117647058,28.622540250447226,0.037037037037037035,0.037037037037037035,144,160
85,28.431372549019606,28.80143112701252,0.037037037037037035,0.034482758620689655,145,161
86,28.627450980392155,28.980322003577818,0.037037037037037035,0.034482758620689655,146,162
87,28.823529411764703,29.159212880143116,0.04,0.034482758620689655,147,163
88,29.01960784313726,29.338103756708406,0.037037037037037035,0.03571428571428571,148,164
89,29.215686274509807,29.5169946332737,0.03571428571428571,0.03571428571428571,149,165
90,29.411764705882355,29.695885509838998,0.03571428571428571,0.03571428571428571,150,166
91,29.607843137254903,29.874776386404296,0.04,0.03571428571428571,151,167
92,29.80392156862745,30.05366726296959,0.038461538461538464,0.037037037037037035,152,168
93,30.0,30.23255813953488,0.038461538461538464,0.03333333333333333,153,169
94,30.19607843137255,30.41144901610018,0.04,0.037037037037037035,154,170
95,30.392156862745097,30.590339892665476,0.04,0.034482758620689655,155,171
96,30.58823529411765,30.76923076923077,0.03571428571428571,0.034482758620689655,156,172
97,30.784313725490197,30.94812164579606,0.038461538461538464,0.038461538461538464,157,173
98,30.980392156862745,31.12701252236136,0.041666666666666664,0.03571428571428571,158,174
99,31.176470588235293,31.305903398926656,0.038461538461538464,0.03571428571428571,159,175
100,31.372549019607842,31.48479427549195,0.038461538461538464,0.04,160,176
101,31.372549019607842,31.663685152057248,0.0,0.038461538461538464,160,177
102,31.372549019607842,31.663685152057248,0.0,0.0,160,177
103,31.56862745098039,31.84257602862254,0.04,0.034482758620689655,161,178
104,31.76470588235294,32.021466905187836,0.037037037037037035,0.037037037037037035,162,179
105,31.960784313725487,32.379248658318424,0.04,0.07142857142857142,163,181
106,32.15686274509804,32.55813953488372,0.03571428571428571,0.03571428571428571,164,182
107,32.35294117647059,32.73703041144901,0.03571428571428571,0.03333333333333333,165,183
108,32.549019607843135,32.91592128801431,0.03571428571428571,0.03571428571428571,166,184
109,32.745098039215684,33.09481216457961,0.037037037037037035,0.034482758620689655,167,185
110,32.745098039215684,33.09481216457961,0.0,0.0,167,185
111,32.94117647058823,33.452593917710196,0.038461538461538464,0.07407407407407407,168,187
112,32.94117647058823,33.452593917710196,0.0,0.0,168,187
113,33.13725490196078,33.631484794275494,0.03571428571428571,0.034482758620689655,169,188
114,33.52941176470588,33.98926654740608,0.07407407407407407,0.06896551724137931,171,190
115,33.72549019607843,34.16815742397138,0.03571428571428571,0.03571428571428571,172,191
116,34.11764705882353,34.52593917710197,0.06896551724137931,0.06896551724137931,174,193
117,34.509803921568626,34.883720930232556,0.07142857142857142,0.06896551724137931,176,195
118,34.90196078431372,35.241502683363144,0.06896551724137931,0.06896551724137931,178,197
119,35.294117647058826,35.59928443649374,0.07692307692307693,0.07142857142857142,180,199
120,35.294117647058826,35.59928443649374,0.0,0.0,180,199
121,35.294117647058826,35.77817531305904,0.0,0.037037037037037035,180,200
122,35.294117647058826,35.77817531305904,0.0,0.0,180,200
123,35.490196078431374,35.95706618962433,0.037037037037037035,0.03571428571428571,181,201
124,35.68627450980392,36.135957066189626,0.037037037037037035,0.03571428571428571,182,202
125,35.88235294117647,36.314847942754916,0.03571428571428571,0.034482758620689655,183,203
126,36.27450980392157,36.67262969588551,0.07407407407407407,0.06666666666666667,185,205
127,36.666666666666664,37.0304114490161,0.07142857142857142,0.07142857142857142,187,207
128,36.86274509803922,37.38819320214669,0.03571428571428571,0.06666666666666667,188,209
129,37.05882352941177,37.567084078711986,0.034482758620689655,0.034482758620689655,189,210
130,37.05882352941177,37.745974955277276,0.0,0.03333333333333333,189,211
131,37.254901960784316,38.10375670840787,0.034482758620689655,0.06896551724137931,190,213
132,37.64705882352941,38.46153846153847,0.06896551724137931,0.06666666666666667,192,215
