turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.3725490196078431,1.073345259391771,0.75,0.6,7,6
3,1.9607843137254901,1.6100178890876566,0.5,0.5,10,9
4,2.549019607843137,2.146690518783542,0.42857142857142855,0.42857142857142855,13,12
5,3.3333333333333335,2.862254025044723,0.5,0.4444444444444444,17,16
6,3.9215686274509802,3.3989266547406083,0.375,0.3333333333333333,20,19
7,4.313725490196078,3.7567084078711988,0.25,0.2,22,21
8,4.901960784313726,4.47227191413238,0.3333333333333333,0.4,25,25
9,5.490196078431373,5.18783542039356,0.3333333333333333,0.4,28,29
10,6.078431372549019,5.724508050089446,0.3333333333333333,0.3,31,32
11,6.470588235294119,6.082289803220036,0.25,0.2,33,34
12,6.666666666666667,6.261180679785331,0.1111111111111111,0.1,34,35
13,7.0588235294117645,6.618962432915922,0.2,0.2,36,37
14,7.450980392156863,6.976744186046512,0.25,0.2,38,39
15,7.8431372549019605,7.334525939177102,0.2222222222222222,0.2,40,41
16,8.431372549019608,7.8711985688729875,0.3333333333333333,0.3,43,44
17,8.823529411764707,8.228980322003578,0.2,0.2,45,46
18,9.411764705882353,8.765652951699463,0.3333333333333333,0.3,48,49
19,10.0,9.30232558139535,0.3,0.3,51,52
20,10.196078431372548,9.66010733452594,0.1,0.2,52,54
21,10.196078431372548,9.66010733452594,0.0,0.0,52,54
22,10.588235294117647,10.01788908765653,0.25,0.2,54,56
23,11.176470588235295,10.554561717352415,0.3333333333333333,0.3,57,59
24,11.568627450980392,11.091234347048301,0.2222222222222222,0.3,59,62
25,11.96078431372549,11.449016100178891,0.2,0.2,61,64
26,12.352941176470589,11.985688729874775,0.2,0.3,63,67
27,12.745098039215685,12.343470483005367,0.2,0.2,65,69
28,13.137254901960786,12.701252236135957,0.2,0.2,67,71
29,13.333333333333334,13.237924865831843,0.1,0.3,68,74
30,13.529411764705882,13.595706618962433,0.1,0.2,69,76
31,13.725490196078432,13.953488372093023,0.1,0.2222222222222222,70,78
32,13.92156862745098,14.132379248658319,0.1,0.1,71,79
33,14.313725490196077,14.669051878354203,0.2,0.3,73,82
34,14.50980392156863,14.847942754919499,0.1,0.1,74,83
35,14.901960784313726,15.20572450805009,0.2,0.2,76,85
36,15.294117647058824,15.56350626118068,0.2,0.2,78,87
37,15.686274509803921,16.100178890876567,0.2,0.3,80,90
38,16.07843137254902,16.457960644007155,0.2,0.2,82,92
39,16.274509803921568,16.636851520572453,0.1111111111111111,0.1111111111111111,83,93
40,16.470588235294116,16.99463327370304,0.1,0.2,84,95
41,16.666666666666664,17.173524150268335,0.1,0.1,85,96
42,17.254901960784313,17.71019677996422,0.3,0.3,88,99
43,17.647058823529413,18.067978533094813,0.2,0.2,90,101
44,18.235294117647058,18.6046511627907,0.3,0.3,93,104
45,18.823529411764707,19.141323792486585,0.3,0.3,96,107
46,19.411764705882355,19.67799642218247,0.3,0.3,99,110
47,19.80392156862745,20.214669051878353,0.2,0.3,101,113
48,20.19607843137255,20.572450805008945,0.2,0.2,103,115
49,20.588235294117645,20.930232558139537,0.2,0.2,105,117
50,20.980392156862745,21.46690518783542,0.2,0.3,107,120
51,21.372549019607842,21.82468694096601,0.2,0.2,109,122
52,21.764705882352942,22.182468694096602,0.2,0.2,111,124
53,22.15686274509804,22.54025044722719,0.2,0.2,113,126
54,22.35294117647059,22.898032200357783,0.1111111111111111,0.2,114,128
55,22.745098039215687,23.25581395348837,0.2,0.2,116,130
56,23.333333333333332,23.792486583184257,0.3,0.3,119,133
57,23.72549019607843,24.15026833631485,0.2,0.2,121,135
58,24.11764705882353,24.508050089445437,0.2,0.2,123,137
59,24.705882352941178,25.044722719141323,0.3,0.3,126,140
60,25.294117647058822,25.581395348837212,0.3,0.3,129,143
61,25.49019607843137,25.760286225402506,0.1,0.1,130,144
62,26.078431372549023,26.29695885509839,0.3,0.3,133,147
63,26.47058823529412,26.654740608228984,0.2,0.2,135,149
64,27.058823529411764,27.191413237924866,0.3,0.3,138,152
65,27.450980392156865,27.549194991055455,0.2,0.2,140,154
66,27.84313725490196,27.906976744186046,0.2,0.2,142,156
67,28.431372549019606,28.44364937388193,0.3333333333333333,0.3,145,159
68,28.823529411764703,28.80143112701252,0.2222222222222222,0.2,147,161
69,29.01960784313726,28.980322003577818,0.1111111111111111,0.1,148,162
70,29.411764705882355,29.338103756708406,0.2,0.2,150,164
71,29.80392156862745,29.874776386404296,0.2,0.3,152,167
72,30.0,30.05366726296959,0.1,0.1,153,168
73,30.392156862745097,30.41144901610018,0.2,0.2,155,170
74,30.980392156862745,30.94812164579606,0.3,0.3,158,173
75,31.56862745098039,31.48479427549195,0.3,0.3,161,176
76,32.15686274509804,32.200357781753134,0.3,0.4,164,180
77,32.549019607843135,32.55813953488372,0.2,0.2,166,182
78,33.13725490196078,33.09481216457961,0.3,0.3,169,185
79,33.72549019607843,33.631484794275494,0.3333333333333333,0.3,172,188
80,34.31372549019608,34.16815742397138,0.3,0.3,175,191
81,34.509803921568626,34.52593917710197,0.1111111111111111,0.2222222222222222,176,193
82,35.09803921568627,35.062611806797854,0.3,0.3,179,196
83,35.68627450980392,35.77817531305904,0.3,0.4,182,200
84,36.27450980392157,36.314847942754916,0.3,0.3333333333333333,185,203
85,36.666666666666664,36.67262969588551,0.2,0.2,187,205
86,37.05882352941177,37.2093023255814,0.2,0.3,189,208
87,37.450980392156865,37.567084078711986,0.2,0.2,191,210
88,37.84313725490196,37.924865831842574,0.2,0.2,193,212
89,38.03921568627451,38.10375670840787,0.1,0.1,194,213
90,38.62745098039216,38.81932021466905,0.3,0.4,197,217
91,38.82352941176471,38.998211091234346,0.1,0.1,198,218
92,39.21568627450981,39.35599284436494,0.2,0.2,200,220
93,39.6078431372549,39.71377459749553,0.2,0.2,202,222
94,40.19607843137255,40.250447227191415,0.3,0.3,205,225
95,40.588235294117645,40.608228980322004,0.2222222222222222,0.2,207,227
96,40.98039215686274,40.9660107334526,0.2,0.2,209,229
97,41.37254901960784,41.32379248658318,0.2,0.2,211,231
98,41.76470588235294,41.681574239713775,0.2,0.2,213,233
99,42.35294117647059,42.21824686940966,0.3,0.3,216,236
100,42.745098039215684,42.57602862254025,0.2,0.2,218,238
101,42.745098039215684,42.75491949910555,0.0,0.1,218,239
102,43.13725490196079,43.112701252236135,0.2,0.2,220,241
103,43.333333333333336,43.47048300536673,0.1,0.2,221,243
104,43.529411764705884,43.64937388193202,0.1,0.1,222,244
105,43.72549019607843,44.00715563506261,0.1,0.2,223,246
106,44.11764705882353,44.364937388193205,0.2,0.2,225,248
107,44.70588235294118,44.90161001788909,0.3,0.3,228,251
108,44.90196078431373,45.08050089445438,0.1,0.1,229,252
109,45.294117647058826,45.43828264758497,0.2,0.2,231,254
110,45.490196078431374,45.796064400715565,0.1,0.2,232,256
111,45.88235294117647,46.15384615384615,0.2,0.2,234,258
112,46.07843137254902,46.332737030411444,0.1,0.1,235,259
113,46.27450980392157,46.51162790697674,0.1,0.1,236,260
114,46.470588235294116,46.86940966010734,0.1,0.2,237,262
115,46.666666666666664,47.04830053667263,0.1,0.1,238,263
116,47.05882352941176,47.40608228980322,0.2,0.2,240,265
117,47.45098039215686,47.76386404293381,0.2,0.2,242,267
118,47.84313725490196,48.1216457960644,0.2,0.2,244,269
119,48.23529411764706,48.479427549194995,0.2,0.2,246,271
120,48.8235294117647,49.01610017889087,0.3333333333333333,0.3,249,274
121,49.2156862745098,49.55277280858677,0.2,0.3,251,277
122,49.6078431372549,49.910554561717355,0.2,0.2,253,279
123,50.0,50.268336314847936,0.2,0.2,255,281
124,50.19607843137255,50.44722719141323,0.1,0.1,256,282
125,50.3921568627451,50.80500894454383,0.1,0.2,257,284
126,50.588235294117645,50.98389982110913,0.1,0.1,258,285
127,50.98039215686274,51.341681574239715,0.2,0.2,260,287
128,51.17647058823529,51.52057245080501,0.1,0.1,261,288
129,51.17647058823529,51.699463327370296,0.0,0.1,261,289
130,51.37254901960784,51.878354203935594,0.1,0.1,262,290
131,51.5686274509804,52.05724508050089,0.1,0.1,263,291
132,51.9607843137255,52.41502683363149,0.2,0.2,265,293
133,52.156862745098046,52.59391771019678,0.1,0.1,266,294
134,52.156862745098046,52.59391771019678,0.0,0.0,266,294
135,52.352941176470594,52.772808586762075,0.1,0.1,267,295
136,52.74509803921569,53.13059033989267,0.2,0.2,269,297
137,53.13725490196079,53.48837209302325,0.2222222222222222,0.2,271,299
138,53.529411764705884,53.84615384615385,0.2,0.2,273,301
139,54.11764705882353,54.38282647584973,0.3,0.3,276,304
140,54.31372549019608,54.74060822898033,0.1,0.2,277,306
141,54.509803921568626,54.91949910554562,0.1111111111111111,0.1,278,307
142,54.70588235294118,55.09838998211091,0.1,0.1,279,308
143,55.09803921568628,55.4561717352415,0.2,0.2,281,310
144,55.490196078431374,55.81395348837209,0.2,0.2,283,312
145,55.88235294117647,56.17173524150269,0.2,0.2,285,314
146,56.27450980392157,56.529516994633276,0.2,0.2,287,316
147,56.666666666666664,56.88729874776386,0.2,0.2,289,318
148,56.86274509803921,57.24508050089445,0.1,0.2,290,320
149,57.05882352941176,57.42397137745975,0.1,0.1111111111111111,291,321
150,57.25490196078431,57.60286225402504,0.1,0.1,292,322
151,57.25490196078431,57.960644007155636,0.0,0.2,292,324
152,57.25490196078431,57.960644007155636,0.0,0.0,292,324
153,57.25490196078431,57.960644007155636,0.0,0.0,292,324
154,57.25490196078431,57.960644007155636,0.0,0.0,292,324
155,57.45098039215686,58.139534883720934,0.1,0.1,293,325
156,57.84313725490197,58.497316636851515,0.2,0.2,295,327
157,58.03921568627452,58.67620751341681,0.1,0.1,296,328
158,58.235294117647065,58.85509838998211,0.1,0.1,297,329
159,58.235294117647065,58.85509838998211,0.0,0.0,297,329
