turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.7843137254901961,0.5366726296958855,1.0,0.6666666666666666,4,3
2,1.1764705882352942,1.073345259391771,0.6666666666666666,0.6,6,6
3,1.5686274509803921,1.4311270125223614,0.4,0.2857142857142857,8,8
4,1.9607843137254901,1.9677996422182469,0.4,0.3333333333333333,10,11
5,2.156862745098039,2.146690518783542,0.16666666666666666,0.1,11,12
6,2.549019607843137,2.5044722719141324,0.2857142857142857,0.16666666666666666,13,14
7,3.1372549019607843,3.041144901610018,0.3333333333333333,0.2,16,17
8,3.7254901960784315,3.7567084078711988,0.3,0.23529411764705882,19,21
9,4.509803921568627,4.47227191413238,0.3076923076923077,0.21052631578947367,23,25
10,5.098039215686274,5.008944543828265,0.25,0.14285714285714285,26,28
11,5.88235294117647,6.082289803220036,0.23529411764705882,0.2608695652173913,30,34
12,6.862745098039216,6.976744186046512,0.2631578947368421,0.22727272727272727,35,39
13,7.450980392156863,7.5134168157423975,0.15789473684210525,0.12,38,42
14,8.235294117647058,8.228980322003578,0.2,0.16,42,46
15,9.019607843137255,8.94454382826476,0.2,0.15384615384615385,46,50
16,9.803921568627452,9.66010733452594,0.2,0.15384615384615385,50,54
17,10.588235294117647,10.37567084078712,0.18181818181818182,0.14285714285714285,54,58
18,11.568627450980392,11.270125223613595,0.19230769230769232,0.17857142857142858,59,63
19,12.156862745098039,11.806797853309481,0.13636363636363635,0.10344827586206896,62,66
20,12.745098039215685,12.522361359570661,0.10714285714285714,0.12121212121212122,65,70
21,13.137254901960786,12.880143112701253,0.07692307692307693,0.06451612903225806,67,72
22,14.117647058823529,13.774597495527727,0.17857142857142858,0.15151515151515152,72,77
23,15.098039215686274,14.669051878354203,0.17857142857142858,0.14705882352941177,77,82
24,15.88235294117647,15.56350626118068,0.12903225806451613,0.13157894736842105,81,87
25,16.862745098039216,16.457960644007155,0.15625,0.13157894736842105,86,92
26,17.84313725490196,17.352415026833633,0.16129032258064516,0.1282051282051282,91,97
27,18.235294117647058,17.88908765652952,0.0625,0.07692307692307693,93,100
28,18.823529411764707,18.425760286225405,0.09090909090909091,0.07317073170731707,96,103
29,19.019607843137255,18.783542039355993,0.02857142857142857,0.047619047619047616,97,105
30,19.215686274509807,18.962432915921287,0.027777777777777776,0.023255813953488372,98,106
31,19.411764705882355,19.141323792486585,0.025,0.023255813953488372,99,107
32,19.80392156862745,19.67799642218247,0.05263157894736842,0.06818181818181818,101,110
33,20.19607843137255,20.03577817531306,0.04878048780487805,0.045454545454545456,103,112
34,20.392156862745097,20.39355992844365,0.025,0.043478260869565216,104,114
35,20.588235294117645,20.75134168157424,0.022222222222222223,0.0425531914893617,105,116
36,20.980392156862745,21.10912343470483,0.041666666666666664,0.038461538461538464,107,118
37,21.372549019607842,21.645796064400717,0.045454545454545456,0.057692307692307696,109,121
38,21.96078431372549,22.182468694096602,0.057692307692307696,0.05454545454545454,112,124
39,22.54901960784314,22.719141323792485,0.061224489795918366,0.057692307692307696,115,127
40,23.333333333333332,23.43470483005367,0.06896551724137931,0.07017543859649122,119,131
41,24.11764705882353,24.329159212880143,0.06896551724137931,0.08928571428571429,123,136
42,24.509803921568626,24.86583184257603,0.03636363636363636,0.05172413793103448,125,139
43,25.098039215686274,25.402504472271914,0.05172413793103448,0.05172413793103448,128,142
44,25.68627450980392,25.939177101967797,0.04918032786885246,0.04918032786885246,131,145
45,26.27450980392157,26.475849731663686,0.05263157894736842,0.05172413793103448,134,148
46,26.862745098039216,27.01252236135957,0.05084745762711865,0.04918032786885246,137,151
47,27.058823529411764,27.549194991055455,0.01694915254237288,0.047619047619047616,138,154
48,27.058823529411764,27.72808586762075,0.0,0.016666666666666666,138,155
49,27.058823529411764,27.72808586762075,0.0,0.0,138,155
50,27.254901960784313,27.906976744186046,0.017857142857142856,0.01639344262295082,139,156
51,27.647058823529413,28.264758497316638,0.03571428571428571,0.03125,141,158
52,27.84313725490196,28.44364937388193,0.016666666666666666,0.01639344262295082,142,159
53,28.03921568627451,28.622540250447226,0.017543859649122806,0.016129032258064516,143,160
54,28.235294117647058,28.80143112701252,0.017241379310344827,0.016129032258064516,144,161
55,28.823529411764703,29.338103756708406,0.05172413793103448,0.047619047619047616,147,164
56,29.215686274509807,29.695885509838998,0.03333333333333333,0.03125,149,166
57,29.215686274509807,29.695885509838998,0.0,0.0,149,166
58,29.411764705882355,29.874776386404296,0.017543859649122806,0.015625,150,167
59,29.607843137254903,30.23255813953488,0.016666666666666666,0.030303030303030304,151,169
60,29.80392156862745,30.41144901610018,0.015873015873015872,0.015384615384615385,152,170
61,29.80392156862745,30.41144901610018,0.0,0.0,152,170
62,29.80392156862745,30.41144901610018,0.0,0.0,152,170
63,29.80392156862745,30.41144901610018,0.0,0.0,152,170
64,29.80392156862745,30.41144901610018,0.0,0.0,152,170
65,29.80392156862745,30.41144901610018,0.0,0.0,152,170
66,29.80392156862745,30.41144901610018,0.0,0.0,152,170
67,29.80392156862745,30.41144901610018,0.0,0.0,152,170
68,30.0,30.590339892665476,0.017543859649122806,0.015625,153,171
69,30.19607843137255,30.76923076923077,0.017543859649122806,0.017857142857142856,154,172
70,30.392156862745097,30.94812164579606,0.017543859649122806,0.016129032258064516,155,173
71,30.58823529411765,31.12701252236136,0.017241379310344827,0.01818181818181818,156,174
72,30.784313725490197,31.305903398926656,0.017543859649122806,0.017241379310344827,157,175
73,30.980392156862745,31.48479427549195,0.01818181818181818,0.017543859649122806,158,176
74,31.176470588235293,31.663685152057248,0.017543859649122806,0.017241379310344827,159,177
75,31.372549019607842,31.84257602862254,0.017241379310344827,0.01639344262295082,160,178
76,31.56862745098039,32.021466905187836,0.017543859649122806,0.017857142857142856,161,179
77,31.76470588235294,32.200357781753134,0.01694915254237288,0.01639344262295082,162,180
78,31.960784313725487,32.379248658318424,0.017543859649122806,0.01694915254237288,163,181
79,32.15686274509804,32.55813953488372,0.017857142857142856,0.01639344262295082,164,182
80,32.35294117647059,32.73703041144901,0.017241379310344827,0.01639344262295082,165,183
81,32.549019607843135,32.91592128801431,0.016129032258064516,0.016666666666666666,166,184
82,32.745098039215684,33.09481216457961,0.017857142857142856,0.015873015873015872,167,185
83,32.94117647058823,33.273703041144906,0.015873015873015872,0.016129032258064516,168,186
84,33.33333333333333,33.631484794275494,0.031746031746031744,0.03076923076923077,170,188
85,33.72549019607843,33.98926654740608,0.03389830508474576,0.034482758620689655,172,190
86,34.11764705882353,34.34704830053667,0.03278688524590164,0.03125,174,192
87,34.509803921568626,34.704830053667266,0.03636363636363636,0.03225806451612903,176,194
88,34.705882352941174,35.062611806797854,0.01694915254237288,0.03225806451612903,177,196
89,34.705882352941174,35.062611806797854,0.0,0.0,177,196
90,35.09803921568627,35.42039355992844,0.03225806451612903,0.03225806451612903,179,198
91,35.294117647058826,35.59928443649374,0.015873015873015872,0.01694915254237288,180,199
92,35.490196078431374,35.95706618962433,0.017241379310344827,0.03125,181,201
93,35.68627450980392,36.135957066189626,0.016666666666666666,0.015873015873015872,182,202
94,35.68627450980392,36.135957066189626,0.0,0.0,182,202
95,35.88235294117647,36.314847942754916,0.01639344262295082,0.016129032258064516,183,203
96,36.07843137254902,36.493738819320214,0.01694915254237288,0.016129032258064516,184,204
97,36.27450980392157,36.67262969588551,0.015873015873015872,0.015873015873015872,185,205
98,36.470588235294116,37.0304114490161,0.017241379310344827,0.03225806451612903,186,207
99,36.470588235294116,37.0304114490161,0.0,0.0,186,207
100,36.470588235294116,37.0304114490161,0.0,0.0,186,207
101,36.666666666666664,37.2093023255814,0.01694915254237288,0.015151515151515152,187,208
102,36.86274509803922,37.38819320214669,0.017241379310344827,0.01639344262295082,188,209
103,37.05882352941177,37.567084078711986,0.015384615384615385,0.01639344262295082,189,210
104,37.254901960784316,37.745974955277276,0.01694915254237288,0.015384615384615385,190,211
105,37.64705882352941,38.10375670840787,0.03278688524590164,0.03125,192,213
106,38.03921568627451,38.46153846153847,0.03389830508474576,0.03125,194,215
107,38.23529411764706,38.64042933810376,0.017241379310344827,0.01639344262295082,195,216
108,38.43137254901961,38.998211091234346,0.01694915254237288,0.03125,196,218
109,38.43137254901961,38.998211091234346,0.0,0.0,196,218
110,38.62745098039216,39.17710196779964,0.015384615384615385,0.015625,197,219
111,38.82352941176471,39.35599284436494,0.016129032258064516,0.015625,198,220
112,39.21568627450981,39.71377459749553,0.03125,0.029850746268656716,200,222
113,39.411764705882355,39.89266547406082,0.016129032258064516,0.014925373134328358,201,223
114,39.80392156862745,40.250447227191415,0.03508771929824561,0.03225806451612903,203,225
115,40.19607843137255,40.608228980322004,0.03125,0.03076923076923077,205,227
116,40.588235294117645,40.9660107334526,0.03508771929824561,0.03125,207,229
117,40.98039215686274,41.32379248658318,0.03571428571428571,0.03278688524590164,209,231
118,41.17647058823529,41.681574239713775,0.017543859649122806,0.03278688524590164,210,233
119,41.568627450980394,42.039355992844364,0.03333333333333333,0.031746031746031744,212,235
120,41.96078431372549,42.39713774597496,0.03333333333333333,0.03389830508474576,214,237
121,42.549019607843135,42.93381037567084,0.05084745762711865,0.045454545454545456,217,240
122,42.94117647058823,43.47048300536673,0.03508771929824561,0.04918032786885246,219,243
123,42.94117647058823,43.47048300536673,0.0,0.0,219,243
124,42.94117647058823,43.64937388193202,0.0,0.016129032258064516,219,244
125,43.13725490196079,43.82826475849731,0.016666666666666666,0.015625,220,245
126,43.72549019607843,44.364937388193205,0.047619047619047616,0.046153846153846156,223,248
127,44.11764705882353,44.72271914132379,0.03508771929824561,0.03125,225,250
128,44.31372549019608,44.90161001788909,0.015384615384615385,0.014925373134328358,226,251
129,44.70588235294118,45.25939177101968,0.03389830508474576,0.03225806451612903,228,253
130,45.490196078431374,45.97495527728086,0.06779661016949153,0.06153846153846154,232,257
131,46.07843137254902,46.51162790697674,0.05084745762711865,0.046153846153846156,235,260
