turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.19607843137254902,0.17889087656529518,1.0,1.0,1,1
1,0.39215686274509803,0.35778175313059035,1.0,1.0,2,2
2,0.5882352941176471,0.5366726296958855,1.0,1.0,3,3
3,0.5882352941176471,0.5366726296958855,0.0,0.0,3,3
4,0.7843137254901961,0.7155635062611807,1.0,1.0,4,4
5,0.9803921568627451,0.8944543828264758,1.0,1.0,5,5
6,1.1764705882352942,1.073345259391771,1.0,1.0,6,6
7,1.1764705882352942,1.073345259391771,0.0,0.0,6,6
8,1.3725490196078431,1.2522361359570662,1.0,1.0,7,7
9,1.5686274509803921,1.4311270125223614,1.0,1.0,8,8
10,1.7647058823529411,1.6100178890876566,1.0,1.0,9,9
11,1.9607843137254901,1.7889087656529516,1.0,1.0,10,10
12,2.156862745098039,1.9677996422182469,1.0,1.0,11,11
13,2.3529411764705883,2.146690518783542,1.0,1.0,12,12
14,2.549019607843137,2.3255813953488373,1.0,1.0,13,13
15,2.549019607843137,2.3255813953488373,0.0,0.0,13,13
16,2.7450980392156863,2.5044722719141324,1.0,1.0,14,14
17,2.941176470588235,2.6833631484794274,1.0,1.0,15,15
18,2.941176470588235,2.6833631484794274,0.0,0.0,15,15
19,3.1372549019607843,2.862254025044723,1.0,1.0,16,16
20,3.3333333333333335,3.041144901610018,1.0,1.0,17,17
21,3.5294117647058822,3.2200357781753133,1.0,1.0,18,18
22,3.7254901960784315,3.3989266547406083,1.0,1.0,19,19
23,3.7254901960784315,3.3989266547406083,0.0,0.0,19,19
24,3.9215686274509802,3.5778175313059033,1.0,1.0,20,20
25,4.117647058823529,3.7567084078711988,1.0,1.0,21,21
26,4.313725490196078,3.9355992844364938,1.0,1.0,22,22
27,4.313725490196078,4.114490161001789,0.0,1.0,22,23
28,4.509803921568627,4.293381037567084,1.0,1.0,23,24
29,4.509803921568627,4.47227191413238,0.0,1.0,23,25
30,4.509803921568627,4.47227191413238,0.0,0.0,23,25
31,4.509803921568627,4.47227191413238,0.0,0.0,23,25
32,4.509803921568627,4.651162790697675,0.0,1.0,23,26
33,4.509803921568627,4.651162790697675,0.0,0.0,23,26
34,4.509803921568627,4.651162790697675,0.0,0.0,23,26
35,4.509803921568627,4.651162790697675,0.0,0.0,23,26
36,4.705882352941177,4.83005366726297,1.0,1.0,24,27
37,4.705882352941177,4.83005366726297,0.0,0.0,24,27
38,4.705882352941177,4.83005366726297,0.0,0.0,24,27
39,4.705882352941177,4.83005366726297,0.0,0.0,24,27
40,4.705882352941177,4.83005366726297,0.0,0.0,24,27
41,4.705882352941177,4.83005366726297,0.0,0.0,24,27
42,4.705882352941177,4.83005366726297,0.0,0.0,24,27
43,4.705882352941177,4.83005366726297,0.0,0.0,24,27
44,4.705882352941177,4.83005366726297,0.0,0.0,24,27
45,4.901960784313726,5.008944543828265,1.0,1.0,25,28
46,4.901960784313726,5.008944543828265,0.0,0.0,25,28
47,4.901960784313726,5.008944543828265,0.0,0.0,25,28
48,5.098039215686274,5.18783542039356,1.0,1.0,26,29
49,5.098039215686274,5.18783542039356,0.0,0.0,26,29
50,5.098039215686274,5.18783542039356,0.0,0.0,26,29
51,5.294117647058823,5.366726296958855,1.0,1.0,27,30
52,5.490196078431373,5.545617173524151,1.0,1.0,28,31
53,5.686274509803922,5.724508050089446,1.0,1.0,29,32
54,5.686274509803922,5.724508050089446,0.0,0.0,29,32
55,5.88235294117647,5.903398926654741,1.0,1.0,30,33
56,6.078431372549019,6.082289803220036,1.0,1.0,31,34
57,6.2745098039215685,6.261180679785331,1.0,1.0,32,35
58,6.470588235294119,6.440071556350627,1.0,1.0,33,36
59,6.470588235294119,6.440071556350627,0.0,0.0,33,36
60,6.666666666666667,6.618962432915922,1.0,1.0,34,37
61,6.862745098039216,6.797853309481217,1.0,1.0,35,38
62,7.0588235294117645,6.976744186046512,1.0,1.0,36,39
63,7.254901960784315,7.155635062611807,1.0,1.0,37,40
64,7.450980392156863,7.334525939177102,1.0,1.0,38,41
65,7.647058823529412,7.5134168157423975,1.0,1.0,39,42
66,7.647058823529412,7.5134168157423975,0.0,0.0,39,42
67,7.8431372549019605,7.6923076923076925,1.0,1.0,40,43
68,8.03921568627451,7.8711985688729875,1.0,1.0,41,44
69,8.235294117647058,8.050089445438283,1.0,1.0,42,45
70,8.235294117647058,8.050089445438283,0.0,0.0,42,45
71,8.235294117647058,8.050089445438283,0.0,0.0,42,45
72,8.431372549019608,8.228980322003578,1.0,1.0,43,46
