turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,3.0927835051546393,1.680672268907563,1.0,0.5,3,2
2,5.154639175257731,3.361344537815126,0.6666666666666666,0.5,5,4
3,7.216494845360824,5.042016806722689,0.5,0.4,7,6
4,9.278350515463918,6.722689075630252,0.4,0.3333333333333333,9,8
5,11.34020618556701,9.243697478991598,0.25,0.375,11,11
6,13.402061855670103,11.76470588235294,0.2222222222222222,0.3,13,14
7,16.49484536082474,14.285714285714285,0.2727272727272727,0.2727272727272727,16,17
8,19.587628865979383,17.647058823529413,0.23076923076923078,0.2857142857142857,19,21
9,22.68041237113402,20.168067226890756,0.1875,0.2,22,24
10,24.742268041237114,22.689075630252102,0.14285714285714285,0.1875,24,27
11,26.804123711340207,25.210084033613445,0.14285714285714285,0.1875,26,30
12,26.804123711340207,26.89075630252101,0.0,0.1111111111111111,26,32
13,26.804123711340207,26.89075630252101,0.0,0.0,26,32
14,26.804123711340207,26.89075630252101,0.0,0.0,26,32
15,27.835051546391753,28.57142857142857,0.0625,0.1,27,34
16,28.865979381443296,29.411764705882355,0.0625,0.05263157894736842,28,35
17,30.927835051546392,31.092436974789916,0.1111111111111111,0.10526315789473684,30,37
18,31.958762886597935,32.773109243697476,0.05555555555555555,0.10526315789473684,31,39
19,31.958762886597935,33.61344537815126,0.0,0.05,31,40
20,32.98969072164948,34.45378151260504,0.058823529411764705,0.058823529411764705,32,41
21,34.02061855670103,35.294117647058826,0.058823529411764705,0.05,33,42
22,36.08247422680412,36.97478991596639,0.1111111111111111,0.1,35,44
23,38.144329896907216,38.655462184873954,0.10526315789473684,0.10526315789473684,37,46
24,40.20618556701031,40.33613445378151,0.1111111111111111,0.11764705882352941,39,48
25,42.2680412371134,42.016806722689076,0.11764705882352941,0.1111111111111111,41,50
26,44.329896907216494,44.537815126050425,0.1111111111111111,0.16666666666666666,43,53
27,46.391752577319586,46.21848739495798,0.10526315789473684,0.1111111111111111,45,55
28,48.45360824742268,47.89915966386555,0.11764705882352941,0.10526315789473684,47,57
29,51.546391752577314,50.42016806722689,0.16666666666666666,0.15,50,60
30,53.608247422680414,52.10084033613446,0.11764705882352941,0.10526315789473684,52,62
31,56.70103092783505,54.621848739495796,0.15,0.15789473684210525,55,65
32,58.76288659793815,57.14285714285714,0.1111111111111111,0.15789473684210525,57,68
33,60.824742268041234,58.82352941176471,0.10526315789473684,0.1111111111111111,59,70
34,62.88659793814433,61.34453781512605,0.1111111111111111,0.17647058823529413,61,73
35,64.94845360824742,63.86554621848739,0.11764705882352941,0.15789473684210525,63,76
36,65.97938144329896,65.54621848739495,0.058823529411764705,0.1111111111111111,64,78
37,67.0103092783505,66.38655462184873,0.05263157894736842,0.0625,65,79
38,69.0721649484536,68.0672268907563,0.10526315789473684,0.11764705882352941,67,81
39,72.16494845360825,70.58823529411765,0.16666666666666666,0.17647058823529413,70,84
40,74.22680412371135,72.26890756302521,0.1111111111111111,0.1111111111111111,72,86
41,76.28865979381443,73.94957983193278,0.1111111111111111,0.10526315789473684,74,88
42,78.35051546391753,76.47058823529412,0.11764705882352941,0.15789473684210525,76,91
43,79.38144329896907,78.15126050420169,0.058823529411764705,0.10526315789473684,77,93
44,79.38144329896907,78.15126050420169,0.0,0.0,77,93
45,79.38144329896907,78.15126050420169,0.0,0.0,77,93
46,80.41237113402062,78.99159663865547,0.0625,0.05263157894736842,78,94
47,81.44329896907216,79.83193277310924,0.05263157894736842,0.05263157894736842,79,95
48,81.44329896907216,79.83193277310924,0.0,0.0,79,95
49,82.4742268041237,80.67226890756302,0.05263157894736842,0.05263157894736842,80,96
50,83.50515463917526,81.5126050420168,0.058823529411764705,0.05263157894736842,81,97
51,85.56701030927834,83.19327731092437,0.10526315789473684,0.1,83,99
52,87.62886597938144,84.87394957983193,0.1111111111111111,0.1,85,101
53,88.65979381443299,85.71428571428571,0.058823529411764705,0.05263157894736842,86,102
54,90.72164948453609,87.39495798319328,0.11764705882352941,0.1111111111111111,88,104
55,91.75257731958763,88.23529411764706,0.05,0.05263157894736842,89,105
56,93.81443298969072,89.91596638655463,0.1111111111111111,0.1,91,107
57,94.84536082474226,91.59663865546219,0.058823529411764705,0.10526315789473684,92,109
58,95.87628865979381,92.43697478991596,0.05263157894736842,0.05263157894736842,93,110
59,96.90721649484536,93.27731092436974,0.05263157894736842,0.05,94,111
60,97.9381443298969,94.9579831932773,0.058823529411764705,0.1111111111111111,95,113
61,98.96907216494846,95.7983193277311,0.05263157894736842,0.05263157894736842,96,114
62,98.96907216494846,95.7983193277311,0.0,0.0,96,114
63,98.96907216494846,96.63865546218487,0.0,0.05263157894736842,96,115
64,98.96907216494846,97.47899159663865,0.0,0.05,96,116
65,98.96907216494846,97.47899159663865,0.0,0.0,96,116
66,98.96907216494846,97.47899159663865,0.0,0.0,96,116
67,100.0,99.15966386554622,0.05555555555555555,0.10526315789473684,97,118
68,100.0,99.15966386554622,0.0,0.0,97,118
69,100.0,99.15966386554622,0.0,0.0,97,118
70,100.0,99.15966386554622,0.0,0.0,97,118
71,100.0,99.15966386554622,0.0,0.0,97,118
72,100.0,99.15966386554622,0.0,0.0,97,118
73,100.0,99.15966386554622,0.0,0.0,97,118
74,100.0,100.0,0.0,0.058823529411764705,97,119
