turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,4.123711340206185,2.5210084033613445,1.0,0.6666666666666666,4,3
2,7.216494845360824,5.88235294117647,0.75,0.5714285714285714,7,7
3,11.34020618556701,9.243697478991598,0.5714285714285714,0.36363636363636365,11,11
4,16.49484536082474,13.445378151260504,0.5555555555555556,0.3125,16,16
5,18.556701030927837,15.126050420168067,0.2222222222222222,0.11764705882352941,18,18
6,20.618556701030926,17.647058823529413,0.18181818181818182,0.15,20,21
7,21.649484536082475,19.327731092436977,0.1111111111111111,0.1,21,23
8,22.68041237113402,20.168067226890756,0.08333333333333333,0.047619047619047616,22,24
9,23.711340206185564,21.008403361344538,0.09090909090909091,0.047619047619047616,23,25
10,25.773195876288657,22.689075630252102,0.14285714285714285,0.08695652173913043,25,27
11,27.835051546391753,24.369747899159663,0.16666666666666666,0.08333333333333333,27,29
12,29.896907216494846,26.89075630252101,0.13333333333333333,0.12,29,32
13,31.958762886597935,28.57142857142857,0.14285714285714285,0.07692307692307693,31,34
14,34.02061855670103,30.252100840336134,0.125,0.07407407407407407,33,36
15,34.02061855670103,31.092436974789916,0.0,0.03571428571428571,33,37
16,35.051546391752574,31.932773109243694,0.0625,0.034482758620689655,34,38
17,36.08247422680412,32.773109243697476,0.07142857142857142,0.03333333333333333,35,39
18,38.144329896907216,34.45378151260504,0.11764705882352941,0.06666666666666667,37,41
19,40.20618556701031,36.97478991596639,0.125,0.0967741935483871,39,44
20,40.20618556701031,36.97478991596639,0.0,0.0,39,44
21,40.20618556701031,36.97478991596639,0.0,0.0,39,44
22,41.23711340206185,37.81512605042017,0.058823529411764705,0.03125,40,45
23,42.2680412371134,38.655462184873954,0.0625,0.03125,41,46
24,43.29896907216495,39.49579831932773,0.05263157894736842,0.030303030303030304,42,47
25,44.329896907216494,40.33613445378151,0.058823529411764705,0.030303030303030304,43,48
26,45.36082474226804,41.17647058823529,0.05,0.029411764705882353,44,49
27,46.391752577319586,42.016806722689076,0.05555555555555555,0.029411764705882353,45,50
28,47.42268041237113,42.857142857142854,0.05,0.02857142857142857,46,51
29,48.45360824742268,43.69747899159664,0.05263157894736842,0.027777777777777776,47,52
30,49.48453608247423,44.537815126050425,0.047619047619047616,0.027777777777777776,48,53
31,50.51546391752577,45.378151260504204,0.045454545454545456,0.027777777777777776,49,54
32,51.546391752577314,46.21848739495798,0.045454545454545456,0.02702702702702703,50,55
33,51.546391752577314,47.05882352941176,0.0,0.02631578947368421,50,56
34,52.57731958762887,47.89915966386555,0.041666666666666664,0.02631578947368421,51,57
35,53.608247422680414,49.57983193277311,0.045454545454545456,0.05128205128205128,52,59
36,53.608247422680414,50.42016806722689,0.0,0.02564102564102564,52,60
37,53.608247422680414,50.42016806722689,0.0,0.0,52,60
38,53.608247422680414,51.26050420168067,0.0,0.02564102564102564,52,61
39,54.63917525773196,52.10084033613446,0.045454545454545456,0.025,53,62
40,55.670103092783506,52.94117647058824,0.04,0.024390243902439025,54,63
41,56.70103092783505,53.78151260504202,0.043478260869565216,0.024390243902439025,55,64
42,57.73195876288659,54.621848739495796,0.038461538461538464,0.024390243902439025,56,65
43,58.76288659793815,55.46218487394958,0.045454545454545456,0.023809523809523808,57,66
44,59.79381443298969,56.30252100840336,0.04,0.023809523809523808,58,67
45,60.824742268041234,57.14285714285714,0.04,0.022727272727272728,59,68
46,61.855670103092784,58.82352941176471,0.037037037037037035,0.045454545454545456,60,70
47,62.88659793814433,59.66386554621849,0.037037037037037035,0.023255813953488372,61,71
48,65.97938144329896,62.18487394957983,0.10714285714285714,0.06666666666666667,64,74
49,68.04123711340206,63.86554621848739,0.07692307692307693,0.045454545454545456,66,76
50,70.10309278350515,65.54621848739495,0.07142857142857142,0.044444444444444446,68,78
51,72.16494845360825,68.0672268907563,0.07407407407407407,0.06521739130434782,70,81
52,73.19587628865979,69.74789915966386,0.034482758620689655,0.043478260869565216,71,83
53,74.22680412371135,70.58823529411765,0.03333333333333333,0.021739130434782608,72,84
54,74.22680412371135,71.42857142857143,0.0,0.02127659574468085,72,85
55,75.25773195876289,72.26890756302521,0.03333333333333333,0.02127659574468085,73,86
56,76.28865979381443,73.94957983193278,0.03125,0.041666666666666664,74,88
57,77.31958762886599,75.63025210084034,0.03125,0.0425531914893617,75,90
58,80.41237113402062,78.15126050420169,0.09090909090909091,0.0625,78,93
59,82.4742268041237,79.83193277310924,0.06451612903225806,0.04081632653061224,80,95
60,85.56701030927834,82.35294117647058,0.08823529411764706,0.061224489795918366,83,98
61,88.65979381443299,84.87394957983193,0.09375,0.06,86,101
62,90.72164948453609,87.39495798319328,0.05714285714285714,0.058823529411764705,88,104
63,91.75257731958763,89.07563025210085,0.03571428571428571,0.04,89,106
64,91.75257731958763,89.07563025210085,0.0,0.0,89,106
65,91.75257731958763,89.07563025210085,0.0,0.0,89,106
66,92.78350515463917,90.75630252100841,0.029411764705882353,0.038461538461538464,90,108
67,93.81443298969072,91.59663865546219,0.02857142857142857,0.019230769230769232,91,109
68,93.81443298969072,91.59663865546219,0.0,0.0,91,109
69,93.81443298969072,93.27731092436974,0.0,0.03773584905660377,91,111
70,94.84536082474226,94.11764705882352,0.02702702702702703,0.018518518518518517,92,112
71,94.84536082474226,94.9579831932773,0.0,0.018867924528301886,92,113
72,94.84536082474226,94.9579831932773,0.0,0.0,92,113
73,95.87628865979381,95.7983193277311,0.029411764705882353,0.018518518518518517,93,114
74,96.90721649484536,96.63865546218487,0.02702702702702703,0.017543859649122806,94,115
75,96.90721649484536,96.63865546218487,0.0,0.0,94,115
76,96.90721649484536,96.63865546218487,0.0,0.0,94,115
77,96.90721649484536,96.63865546218487,0.0,0.0,94,115
78,96.90721649484536,96.63865546218487,0.0,0.0,94,115
79,96.90721649484536,96.63865546218487,0.0,0.0,94,115
80,96.90721649484536,96.63865546218487,0.0,0.0,94,115
81,96.90721649484536,96.63865546218487,0.0,0.0,94,115
82,96.90721649484536,96.63865546218487,0.0,0.0,94,115
83,96.90721649484536,96.63865546218487,0.0,0.0,94,115
84,96.90721649484536,96.63865546218487,0.0,0.0,94,115
85,96.90721649484536,96.63865546218487,0.0,0.0,94,115
86,96.90721649484536,96.63865546218487,0.0,0.0,94,115
87,96.90721649484536,96.63865546218487,0.0,0.0,94,115
88,96.90721649484536,96.63865546218487,0.0,0.0,94,115
89,96.90721649484536,96.63865546218487,0.0,0.0,94,115
90,96.90721649484536,96.63865546218487,0.0,0.0,94,115
91,96.90721649484536,96.63865546218487,0.0,0.0,94,115
92,97.9381443298969,97.47899159663865,0.023809523809523808,0.01818181818181818,95,116
93,98.96907216494846,98.31932773109243,0.025,0.018518518518518517,96,117
94,100.0,99.15966386554622,0.023809523809523808,0.019230769230769232,97,118
95,100.0,99.15966386554622,0.0,0.0,97,118
96,100.0,99.15966386554622,0.0,0.0,97,118
97,100.0,100.0,0.0,0.018867924528301886,97,119
