turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,5.154639175257731,3.361344537815126,1.0,0.75,5,4
2,10.309278350515463,8.403361344537815,0.8333333333333334,0.6,10,10
3,17.525773195876287,15.126050420168067,0.5384615384615384,0.4444444444444444,17,18
4,29.896907216494846,25.210084033613445,0.5714285714285714,0.4,29,30
5,37.11340206185567,34.45378151260504,0.2916666666666667,0.3235294117647059,36,41
6,39.175257731958766,37.81512605042017,0.07142857142857142,0.10256410256410256,38,45
7,43.29896907216495,41.17647058823529,0.13793103448275862,0.09302325581395349,42,49
8,46.391752577319586,44.537815126050425,0.0967741935483871,0.08888888888888889,45,53
9,49.48453608247423,47.05882352941176,0.08823529411764706,0.061224489795918366,48,56
10,53.608247422680414,50.42016806722689,0.10526315789473684,0.08,52,60
11,55.670103092783506,52.94117647058824,0.05,0.057692307692307696,54,63
12,58.76288659793815,55.46218487394958,0.07142857142857142,0.05454545454545454,57,66
13,60.824742268041234,57.14285714285714,0.047619047619047616,0.03508771929824561,59,68
14,63.91752577319587,59.66386554621849,0.06521739130434782,0.05263157894736842,62,71
15,65.97938144329896,62.18487394957983,0.044444444444444446,0.05263157894736842,64,74
16,67.0103092783505,63.86554621848739,0.02040816326530612,0.03389830508474576,65,76
17,68.04123711340206,64.70588235294117,0.020833333333333332,0.016666666666666666,66,77
18,69.0721649484536,65.54621848739495,0.019230769230769232,0.01639344262295082,67,78
19,71.1340206185567,67.22689075630252,0.038461538461538464,0.03333333333333333,69,80
20,73.19587628865979,68.90756302521008,0.03636363636363636,0.03076923076923077,71,82
21,75.25773195876289,70.58823529411765,0.03773584905660377,0.03076923076923077,73,84
22,76.28865979381443,71.42857142857143,0.018867924528301886,0.015151515151515152,74,85
23,77.31958762886599,72.26890756302521,0.018518518518518517,0.015384615384615385,75,86
24,79.38144329896907,73.94957983193278,0.034482758620689655,0.03076923076923077,77,88
25,82.4742268041237,76.47058823529412,0.05454545454545454,0.046875,80,91
26,84.5360824742268,78.99159663865547,0.03508771929824561,0.045454545454545456,82,94
27,87.62886597938144,83.19327731092437,0.05357142857142857,0.07462686567164178,85,99
28,90.72164948453609,86.5546218487395,0.05660377358490566,0.057971014492753624,88,103
29,93.81443298969072,89.07563025210085,0.05172413793103448,0.04411764705882353,91,106
30,95.87628865979381,91.59663865546219,0.03508771929824561,0.04477611940298507,93,109
31,96.90721649484536,93.27731092436974,0.018867924528301886,0.030303030303030304,94,111
32,96.90721649484536,94.11764705882352,0.0,0.015151515151515152,94,112
33,97.9381443298969,94.9579831932773,0.018518518518518517,0.015151515151515152,95,113
34,98.96907216494846,95.7983193277311,0.019230769230769232,0.015384615384615385,96,114
35,98.96907216494846,95.7983193277311,0.0,0.0,96,114
36,98.96907216494846,95.7983193277311,0.0,0.0,96,114
37,98.96907216494846,96.63865546218487,0.0,0.015625,96,115
38,98.96907216494846,96.63865546218487,0.0,0.0,96,115
39,100.0,98.31932773109243,0.017857142857142856,0.029411764705882353,97,117
40,100.0,99.15966386554622,0.0,0.015384615384615385,97,118
41,100.0,99.15966386554622,0.0,0.0,97,118
42,100.0,99.15966386554622,0.0,0.0,97,118
43,100.0,99.15966386554622,0.0,0.0,97,118
44,100.0,99.15966386554622,0.0,0.0,97,118
45,100.0,99.15966386554622,0.0,0.0,97,118
46,100.0,99.15966386554622,0.0,0.0,97,118
47,100.0,100.0,0.0,0.016666666666666666,97,119
