agent_id,start_pos,path
0,203,"['203', '201', '199', '173', '171', '271', '181', '35', '181', '35', '181', '35', '181', '177', '179', '40', '1', '40', '179', '40']"
1,203,"['203', '201', '203', '201', '199', '173', '171', '271', '181', '177', '179', '183', '185', '183', '179', '177', '181', '35', '181', '177']"
2,203,"['203', '201', '275', '201', '203', '201', '199', '173', '171', '271', '181', '177', '179', '183', '185', '184', '205', '207', '206', '208']"
3,203,"['203', '201', '199', '201', '275', '207', '205', '184', '185', '204', '187', '189', '267', '193', '113', '111', '197', '191', '187', '204']"
4,203,"['203', '201', '203', '201', '199', '201', '203', '201', '199', '273', '199', '173', '171', '271', '181', '35', '181', '177', '179', '177']"
5,203,"['203', '201', '275', '207', '205', '184', '185', '204', '187', '189', '267', '193', '113', '111', '197', '191', '187', '204', '185', '183']"
6,203,"['203', '201', '199', '273', '199', '273', '205', '207', '205', '273', '205', '184', '185', '184', '205', '207', '206', '208', '209', '211']"
7,203,"['203', '201', '203', '201', '203', '201', '275', '207', '206', '208', '209', '211', '213', '215', '217', '215', '213', '229', '231', '229']"
8,203,"['203', '201', '275', '273', '205', '207', '206', '208', '209', '211', '213', '215', '217', '219', '217', '219', '217', '225', '217', '215']"
9,203,"['203', '201', '199', '173', '199', '173', '199', '201', '203', '201', '275', '207', '205', '273', '275', '201', '199', '273', '205', '184']"
