turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score
0,0.19607843137254902,0.17889087656529518,1.0,1.0
1,0.39215686274509803,0.35778175313059035,1.0,1.0
2,0.5882352941176471,0.5366726296958855,1.0,1.0
3,0.7843137254901961,0.7155635062611807,1.0,1.0
4,0.9803921568627451,0.8944543828264758,1.0,1.0
5,1.1764705882352942,1.073345259391771,1.0,1.0
6,1.3725490196078431,1.2522361359570662,1.0,1.0
7,1.5686274509803921,1.4311270125223614,1.0,1.0
8,1.7647058823529411,1.6100178890876566,1.0,1.0
9,1.9607843137254901,1.7889087656529516,1.0,1.0
10,1.9607843137254901,1.7889087656529516,0.0,0.0
11,2.156862745098039,1.9677996422182469,1.0,1.0
12,2.3529411764705883,2.146690518783542,1.0,1.0
13,2.549019607843137,2.3255813953488373,1.0,1.0
14,2.7450980392156863,2.5044722719141324,1.0,1.0
15,2.941176470588235,2.6833631484794274,1.0,1.0
16,3.1372549019607843,2.862254025044723,1.0,1.0
17,3.3333333333333335,3.041144901610018,1.0,1.0
18,3.5294117647058822,3.2200357781753133,1.0,1.0
19,3.7254901960784315,3.3989266547406083,1.0,1.0
20,3.9215686274509802,3.5778175313059033,1.0,1.0
21,4.117647058823529,3.7567084078711988,1.0,1.0
22,4.117647058823529,3.7567084078711988,0.0,0.0
23,4.313725490196078,3.9355992844364938,1.0,1.0
24,4.509803921568627,4.114490161001789,1.0,1.0
25,4.509803921568627,4.114490161001789,0.0,0.0
26,4.705882352941177,4.293381037567084,1.0,1.0
27,4.705882352941177,4.293381037567084,0.0,0.0
28,4.705882352941177,4.293381037567084,0.0,0.0
29,4.705882352941177,4.293381037567084,0.0,0.0
30,4.901960784313726,4.47227191413238,1.0,1.0
31,5.098039215686274,4.651162790697675,1.0,1.0
32,5.294117647058823,4.83005366726297,1.0,1.0
33,5.490196078431373,5.008944543828265,1.0,1.0
34,5.686274509803922,5.18783542039356,1.0,1.0
35,5.88235294117647,5.366726296958855,1.0,1.0
36,6.078431372549019,5.545617173524151,1.0,1.0
37,6.078431372549019,5.545617173524151,0.0,0.0
38,6.2745098039215685,5.724508050089446,1.0,1.0
39,6.470588235294119,5.903398926654741,1.0,1.0
40,6.666666666666667,6.082289803220036,1.0,1.0
41,6.666666666666667,6.082289803220036,0.0,0.0
42,6.666666666666667,6.082289803220036,0.0,0.0
43,6.862745098039216,6.261180679785331,1.0,1.0
44,7.0588235294117645,6.440071556350627,1.0,1.0
45,7.254901960784315,6.618962432915922,1.0,1.0
46,7.254901960784315,6.618962432915922,0.0,0.0
47,7.254901960784315,6.618962432915922,0.0,0.0
48,7.450980392156863,6.797853309481217,1.0,1.0
49,7.647058823529412,6.976744186046512,1.0,1.0
50,7.8431372549019605,7.155635062611807,1.0,1.0
51,8.03921568627451,7.334525939177102,1.0,1.0
52,8.235294117647058,7.5134168157423975,1.0,1.0
53,8.431372549019608,7.6923076923076925,1.0,1.0
54,8.627450980392156,7.8711985688729875,1.0,1.0
55,8.823529411764707,8.050089445438283,1.0,1.0
56,9.019607843137255,8.228980322003578,1.0,1.0
57,9.019607843137255,8.228980322003578,0.0,0.0
58,9.019607843137255,8.228980322003578,0.0,0.0
59,9.215686274509805,8.407871198568873,1.0,1.0
60,9.411764705882353,8.586762075134168,1.0,1.0
61,9.607843137254903,8.765652951699463,1.0,1.0
62,9.803921568627452,8.94454382826476,1.0,1.0
63,10.0,9.123434704830053,1.0,1.0
64,10.196078431372548,9.30232558139535,1.0,1.0
65,10.392156862745098,9.481216457960643,1.0,1.0
66,10.588235294117647,9.66010733452594,1.0,1.0
67,10.588235294117647,9.66010733452594,0.0,0.0
68,10.784313725490197,9.838998211091235,1.0,1.0
69,10.980392156862745,10.01788908765653,1.0,1.0
70,11.176470588235295,10.196779964221825,1.0,1.0
71,11.372549019607844,10.37567084078712,1.0,1.0
72,11.568627450980392,10.554561717352415,1.0,1.0
73,11.568627450980392,10.554561717352415,0.0,0.0
74,11.76470588235294,10.73345259391771,1.0,1.0
75,11.96078431372549,10.912343470483005,1.0,1.0
76,12.156862745098039,11.091234347048301,1.0,1.0
77,12.352941176470589,11.270125223613595,1.0,1.0
78,12.549019607843137,11.449016100178891,1.0,1.0
79,12.745098039215685,11.627906976744185,1.0,1.0
80,12.941176470588237,11.806797853309481,1.0,1.0
81,12.941176470588237,11.806797853309481,0.0,0.0
82,13.137254901960786,11.985688729874775,1.0,1.0
83,13.333333333333334,12.164579606440071,1.0,1.0
84,13.529411764705882,12.343470483005367,1.0,1.0
85,13.725490196078432,12.522361359570661,1.0,1.0
86,13.92156862745098,12.701252236135957,1.0,1.0
87,14.117647058823529,12.880143112701253,1.0,1.0
88,14.313725490196077,13.059033989266547,1.0,1.0
89,14.50980392156863,13.237924865831843,1.0,1.0
90,14.705882352941178,13.416815742397137,1.0,1.0
91,14.901960784313726,13.595706618962433,1.0,1.0
92,15.098039215686274,13.774597495527727,1.0,1.0
93,15.294117647058824,13.953488372093023,1.0,1.0
94,15.490196078431373,14.132379248658319,1.0,1.0
95,15.686274509803921,14.311270125223613,1.0,1.0
96,15.88235294117647,14.490161001788909,1.0,1.0
97,16.07843137254902,14.669051878354203,1.0,1.0
98,16.274509803921568,14.847942754919499,1.0,1.0
99,16.274509803921568,14.847942754919499,0.0,0.0
