turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.02979737783075089,0.02610966057441253,1.0,1.0,1,1
1,0.11918951132300357,0.0783289817232376,1.0,0.6666666666666666,4,3
2,0.23837902264600713,0.18276762402088773,0.8,0.6666666666666666,8,7
3,0.32777115613825986,0.28720626631853785,0.5,0.5,11,11
4,0.4469606674612634,0.39164490861618795,0.4444444444444444,0.4444444444444444,15,15
5,0.5959475566150179,0.5221932114882507,0.5,0.5,20,20
6,0.6853396901072706,0.6005221932114883,0.375,0.3,23,23
7,0.8045292014302742,0.7049608355091384,0.4,0.4,27,27
8,0.9535160905840285,0.835509138381201,0.5,0.5,32,32
9,1.102502979737783,0.9660574412532636,0.5,0.5,37,37
10,1.1620977353992847,1.0443864229765014,0.2,0.3333333333333333,39,40
11,1.2812872467222884,1.1488250652741514,0.4,0.4,43,44
12,1.3706793802145412,1.2271540469973892,0.3333333333333333,0.3,46,47
13,1.4600715137067939,1.3054830287206265,0.3333333333333333,0.3,49,50
14,1.5494636471990464,1.3838120104438643,0.3333333333333333,0.3,52,53
15,1.66865315852205,1.4882506527415142,0.4,0.4,56,57
16,1.7580452920143028,1.5665796344647518,0.3,0.3,59,60
17,1.8772348033373063,1.671018276762402,0.4,0.4,63,64
18,1.9666269368295588,1.7754569190600522,0.3,0.4,66,68
19,1.9964243146603098,1.8276762402088773,0.1,0.2,67,70
20,2.0858164481525625,1.9060052219321149,0.3,0.3,70,73
21,2.1454112038140645,1.95822454308094,0.2,0.2,72,75
22,2.234803337306317,2.0365535248041775,0.3,0.3,75,78
23,2.294398092967819,2.088772845953003,0.2222222222222222,0.2,77,80
24,2.3539928486293205,2.1409921671018277,0.2,0.2,79,82
25,2.4135876042908224,2.193211488250653,0.2,0.2,81,84
26,2.4731823599523244,2.2454308093994775,0.2222222222222222,0.2,83,86
27,2.4731823599523244,2.3237597911227157,0.0,0.3,83,89
28,2.5029797377830754,2.3498694516971277,0.1,0.1111111111111111,84,90
29,2.592371871275328,2.4543080939947783,0.3,0.4,87,94
30,2.6817640047675804,2.5326370757180157,0.3,0.3333333333333333,90,97
31,2.771156138259833,2.610966057441253,0.3,0.3333333333333333,93,100
32,2.860548271752086,2.6892950391644908,0.3,0.3,96,103
33,2.8903456495828364,2.7676240208877285,0.1111111111111111,0.3,97,106
34,2.9201430274135878,2.793733681462141,0.1,0.1111111111111111,98,107
35,2.9797377830750893,2.845953002610966,0.2,0.2,100,109
36,3.0393325387365913,2.9242819843342036,0.25,0.3,102,112
37,3.0691299165673422,2.950391644908616,0.1,0.1,103,113
38,3.128724672228844,3.0026109660574414,0.2,0.2,105,115
39,3.188319427890346,3.0548302872062663,0.25,0.2,107,117
40,3.307508939213349,3.1592689295039165,0.4,0.4,111,121
41,3.426698450536353,3.263707571801567,0.4,0.4,115,125
42,3.545887961859356,3.3681462140992164,0.4,0.4,119,129
43,3.66507747318236,3.4725848563968666,0.4,0.4,123,133
44,3.784266984505363,3.577023498694517,0.4,0.4,127,137
45,3.903456495828367,3.681462140992167,0.4,0.4,131,141
46,3.9630512514898686,3.7859007832898173,0.2222222222222222,0.4,133,145
47,3.9928486293206196,3.8120104438642297,0.1,0.1,134,146
48,4.052443384982122,3.8642297650130546,0.2,0.2,136,148
49,4.082240762812873,3.8903394255874675,0.1,0.1,137,149
50,4.112038140643624,3.91644908616188,0.1,0.1,138,150
51,4.141835518474375,3.9425587467362924,0.1111111111111111,0.1,139,151
52,4.231227651966627,4.02088772845953,0.3333333333333333,0.3,142,154
53,4.290822407628129,4.073107049608355,0.2222222222222222,0.2,144,156
54,4.350417163289631,4.12532637075718,0.2,0.2222222222222222,146,158
55,4.439809296781883,4.203655352480418,0.3,0.3,149,161
56,4.529201430274136,4.281984334203655,0.3,0.3333333333333333,152,164
57,4.648390941597139,4.386422976501306,0.4,0.4,156,168
58,4.737783075089392,4.464751958224543,0.3,0.3,159,171
59,4.767580452920143,4.516971279373369,0.1,0.2222222222222222,160,173
60,4.797377830750894,4.569190600522193,0.1,0.2,161,175
61,4.797377830750894,4.595300261096606,0.0,0.1,161,176
62,4.856972586412396,4.647519582245431,0.2,0.2,163,178
63,4.886769964243146,4.673629242819843,0.1,0.1,164,179
64,4.886769964243146,4.673629242819843,0.0,0.0,164,179
65,4.9761620977354,4.751958224543081,0.3,0.3,167,182
66,5.095351609058403,4.856396866840731,0.4,0.4,171,186
67,5.184743742550656,4.934725848563969,0.3,0.3,174,189
68,5.244338498212158,5.013054830287206,0.2,0.3,176,192
69,5.303933253873659,5.065274151436031,0.2,0.2,178,194
70,5.363528009535161,5.117493472584857,0.2,0.2,180,196
71,5.423122765196663,5.169712793733681,0.2,0.2,182,198
72,5.482717520858165,5.221932114882506,0.2,0.2,184,200
73,5.542312276519666,5.274151436031332,0.2,0.2,186,202
74,5.631704410011919,5.352480417754569,0.3,0.3,189,205
75,5.721096543504172,5.430809399477806,0.3,0.3,192,208
76,5.810488676996425,5.509138381201044,0.3,0.3,195,211
77,5.8998808104886775,5.587467362924282,0.3,0.3,198,214
78,5.98927294398093,5.66579634464752,0.3,0.3,201,217
79,6.0786650774731825,5.7441253263707575,0.3,0.3,204,220
80,6.1382598331346845,5.796344647519582,0.2,0.2,206,222
81,6.2276519666269365,5.87467362924282,0.3,0.3,209,225
82,6.287246722288439,5.926892950391645,0.2,0.2,211,227
