turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,0.02979737783075089,0.02610966057441253,1.0,1.0,1,1
1,0.11918951132300357,0.0783289817232376,1.0,0.6666666666666666,4,3
2,0.26817640047675806,0.20887728459530025,0.8333333333333334,0.625,9,8
3,0.4171632896305125,0.3394255874673629,0.625,0.625,14,13
4,0.5363528009535161,0.44386422976501305,0.5,0.4,18,17
5,0.6555423122765197,0.5483028720626633,0.4,0.4,22,21
6,0.7449344457687723,0.6527415143603132,0.3333333333333333,0.4,25,25
7,0.834326579261025,0.7310704960835509,0.3,0.3333333333333333,28,28
8,0.9237187127532777,0.8093994778067884,0.3,0.3333333333333333,31,31
9,1.0131108462455305,0.8877284595300261,0.3,0.3333333333333333,34,34
10,1.102502979737783,0.9660574412532636,0.3,0.3,37,37
11,1.1918951132300357,1.0443864229765014,0.3,0.3,40,40
12,1.2812872467222884,1.1227154046997387,0.3,0.3,43,43
13,1.3408820023837902,1.1749347258485638,0.2222222222222222,0.2,45,45
14,1.3706793802145412,1.2271540469973892,0.1,0.2,46,47
15,1.400476758045292,1.2532637075718016,0.1111111111111111,0.1,47,48
16,1.4600715137067939,1.3054830287206265,0.2222222222222222,0.2,49,50
17,1.5196662693682956,1.3838120104438643,0.2,0.3,51,53
18,1.5494636471990464,1.4099216710182767,0.1,0.1,52,54
19,1.5792610250297976,1.4621409921671018,0.1,0.2,53,56
20,1.6090584028605484,1.4882506527415142,0.1111111111111111,0.1,54,57
21,1.6388557806912993,1.514360313315927,0.1111111111111111,0.1111111111111111,55,58
22,1.66865315852205,1.5404699738903394,0.1,0.1111111111111111,56,59
23,1.698450536352801,1.5665796344647518,0.1,0.1,57,60
24,1.698450536352801,1.5665796344647518,0.0,0.0,57,60
25,1.698450536352801,1.5665796344647518,0.0,0.0,57,60
26,1.7282479141835518,1.5926892950391645,0.1111111111111111,0.1,58,61
27,1.7580452920143028,1.6449086161879896,0.1111111111111111,0.2222222222222222,59,63
28,1.7878426698450536,1.671018276762402,0.1,0.1,60,64
29,1.8474374255065553,1.723237597911227,0.2222222222222222,0.2,62,66
30,1.8772348033373063,1.7493472584856395,0.1111111111111111,0.1,63,67
31,1.907032181168057,1.7754569190600522,0.1,0.1,64,68
32,1.907032181168057,1.7754569190600522,0.0,0.0,64,68
33,1.907032181168057,1.7754569190600522,0.0,0.0,64,68
34,1.907032181168057,1.7754569190600522,0.0,0.0,64,68
35,1.9666269368295588,1.8537859007832898,0.2,0.3,66,71
36,1.9964243146603098,1.8798955613577024,0.1,0.1,67,72
37,2.026221692491061,1.9060052219321149,0.1,0.1,68,73
38,2.026221692491061,1.9321148825065273,0.0,0.1,68,74
39,2.026221692491061,1.9321148825065273,0.0,0.0,68,74
40,2.056019070321812,1.95822454308094,0.1,0.1,69,75
41,2.1156138259833135,2.010443864229765,0.2,0.2,71,77
42,2.1156138259833135,2.0365535248041775,0.0,0.1,71,78
43,2.1156138259833135,2.0365535248041775,0.0,0.0,71,78
44,2.1454112038140645,2.06266318537859,0.1,0.1,72,79
45,2.1752085816448155,2.088772845953003,0.1,0.1,73,80
46,2.205005959475566,2.114882506527415,0.1,0.1,74,81
47,2.234803337306317,2.1409921671018277,0.1,0.125,75,82
48,2.264600715137068,2.16710182767624,0.1,0.1,76,83
49,2.294398092967819,2.193211488250653,0.1,0.1,77,84
50,2.3241954707985695,2.219321148825065,0.1,0.1,78,85
51,2.3539928486293205,2.2454308093994775,0.1,0.1111111111111111,79,86
52,2.3837902264600714,2.2715404699738904,0.1,0.1,80,87
53,2.4135876042908224,2.297650130548303,0.1,0.125,81,88
54,2.4731823599523244,2.3498694516971277,0.2,0.2,83,90
55,2.5029797377830754,2.402088772845953,0.1,0.2,84,92
56,2.5029797377830754,2.4281984334203655,0.0,0.1,84,93
57,2.532777115613826,2.4543080939947783,0.1,0.1111111111111111,85,94
58,2.592371871275328,2.506527415143603,0.2,0.2222222222222222,87,96
59,2.6519666269368294,2.5587467362924285,0.2222222222222222,0.2,89,98
60,2.7115613825983313,2.610966057441253,0.2,0.2,91,100
61,2.771156138259833,2.6631853785900783,0.2,0.2,93,102
62,2.830750893921335,2.715404699738903,0.2,0.2,95,104
63,2.8903456495828364,2.7676240208877285,0.2,0.2,97,106
64,2.9499404052443388,2.8198433420365534,0.2222222222222222,0.2,99,108
65,3.0095351609058403,2.8720626631853787,0.2,0.2,101,110
66,3.0393325387365913,2.9242819843342036,0.1,0.2222222222222222,102,112
67,3.0691299165673422,2.950391644908616,0.1111111111111111,0.1,103,113
68,3.128724672228844,3.0026109660574414,0.2,0.2,105,115
69,3.188319427890346,3.0548302872062663,0.2,0.2,107,117
70,3.2479141835518477,3.107049608355091,0.2,0.2,109,119
71,3.307508939213349,3.1592689295039165,0.2,0.2,111,121
72,3.367103694874851,3.2114882506527413,0.2222222222222222,0.2,113,123
73,3.426698450536353,3.263707571801567,0.2,0.2,115,125
74,3.4564958283671037,3.3159268929503916,0.1,0.2222222222222222,116,127
75,3.4862932061978547,3.342036553524804,0.1,0.1,117,128
76,3.5160905840286056,3.3681462140992164,0.1111111111111111,0.1,118,129
77,3.545887961859356,3.3942558746736298,0.1111111111111111,0.1,119,130
78,3.575685339690107,3.4203655352480418,0.1,0.1,120,131
79,3.605482717520858,3.4725848563968666,0.1111111111111111,0.2222222222222222,121,133
