turn,pct_nodes_explored,pct_links_explored,node_novelty_score,link_novelty_score,abs_nodes_explored,abs_links_explored
0,1.0309278350515463,0.8403361344537815,1.0,1.0,1,1
1,4.123711340206185,2.5210084033613445,1.0,0.6666666666666666,4,3
2,7.216494845360824,5.042016806722689,0.75,0.6,7,6
3,10.309278350515463,8.403361344537815,0.6,0.5714285714285714,10,10
4,13.402061855670103,10.92436974789916,0.5,0.375,13,13
5,14.432989690721648,11.76470588235294,0.16666666666666666,0.1111111111111111,14,14
6,17.525773195876287,14.285714285714285,0.375,0.3,17,17
7,19.587628865979383,16.80672268907563,0.3333333333333333,0.3,19,20
8,21.649484536082475,18.487394957983195,0.25,0.2,21,22
9,23.711340206185564,20.168067226890756,0.25,0.2,23,24
10,25.773195876288657,21.84873949579832,0.25,0.2,25,26
11,26.804123711340207,22.689075630252102,0.1111111111111111,0.1,26,27
12,28.865979381443296,24.369747899159663,0.2222222222222222,0.2,28,29
13,30.927835051546392,26.05042016806723,0.2222222222222222,0.2,30,31
14,31.958762886597935,26.89075630252101,0.1,0.1,31,32
15,31.958762886597935,26.89075630252101,0.0,0.0,31,32
16,32.98969072164948,28.57142857142857,0.1111111111111111,0.2,32,34
17,34.02061855670103,29.411764705882355,0.1111111111111111,0.1,33,35
18,35.051546391752574,30.252100840336134,0.125,0.1,34,36
19,36.08247422680412,31.092436974789916,0.1,0.1,35,37
20,37.11340206185567,31.932773109243694,0.1,0.1,36,38
21,38.144329896907216,32.773109243697476,0.125,0.1,37,39
22,38.144329896907216,33.61344537815126,0.0,0.1,37,40
23,38.144329896907216,33.61344537815126,0.0,0.0,37,40
24,38.144329896907216,33.61344537815126,0.0,0.0,37,40
25,38.144329896907216,33.61344537815126,0.0,0.0,37,40
26,38.144329896907216,34.45378151260504,0.0,0.1,37,41
27,38.144329896907216,34.45378151260504,0.0,0.0,37,41
28,38.144329896907216,34.45378151260504,0.0,0.0,37,41
29,38.144329896907216,34.45378151260504,0.0,0.0,37,41
30,39.175257731958766,35.294117647058826,0.1111111111111111,0.1,38,42
31,40.20618556701031,36.134453781512605,0.125,0.1,39,43
32,41.23711340206185,36.97478991596639,0.1111111111111111,0.1,40,44
33,42.2680412371134,37.81512605042017,0.1111111111111111,0.1,41,45
34,43.29896907216495,38.655462184873954,0.125,0.1,42,46
35,44.329896907216494,39.49579831932773,0.1,0.1,43,47
36,45.36082474226804,40.33613445378151,0.1111111111111111,0.1,44,48
37,46.391752577319586,41.17647058823529,0.1111111111111111,0.1,45,49
38,47.42268041237113,42.016806722689076,0.1111111111111111,0.1,46,50
39,47.42268041237113,42.857142857142854,0.0,0.1,46,51
40,47.42268041237113,42.857142857142854,0.0,0.0,46,51
41,47.42268041237113,42.857142857142854,0.0,0.0,46,51
42,47.42268041237113,42.857142857142854,0.0,0.0,46,51
43,47.42268041237113,43.69747899159664,0.0,0.1,46,52
44,48.45360824742268,44.537815126050425,0.1111111111111111,0.1,47,53
45,49.48453608247423,45.378151260504204,0.1,0.1111111111111111,48,54
46,49.48453608247423,46.21848739495798,0.0,0.1,48,55
47,50.51546391752577,47.05882352941176,0.1111111111111111,0.1,49,56
48,51.546391752577314,47.89915966386555,0.1,0.1,50,57
49,52.57731958762887,48.739495798319325,0.1111111111111111,0.1,51,58
50,53.608247422680414,49.57983193277311,0.1,0.1,52,59
51,55.670103092783506,51.26050420168067,0.2222222222222222,0.2,54,61
52,57.73195876288659,52.94117647058824,0.2,0.2,56,63
53,59.79381443298969,54.621848739495796,0.2,0.2,58,65
54,60.824742268041234,55.46218487394958,0.1111111111111111,0.1,59,66
55,62.88659793814433,57.14285714285714,0.2,0.2,61,68
56,63.91752577319587,58.82352941176471,0.1,0.2,62,70
57,64.94845360824742,59.66386554621849,0.1,0.1,63,71
58,64.94845360824742,60.50420168067227,0.0,0.1,63,72
59,65.97938144329896,61.34453781512605,0.1,0.1,64,73
60,65.97938144329896,62.18487394957983,0.0,0.1,64,74
61,65.97938144329896,63.02521008403361,0.0,0.1111111111111111,64,75
62,65.97938144329896,63.02521008403361,0.0,0.0,64,75
63,67.0103092783505,63.86554621848739,0.1,0.1,65,76
64,68.04123711340206,64.70588235294117,0.1111111111111111,0.1,66,77
65,69.0721649484536,65.54621848739495,0.1111111111111111,0.1,67,78
66,70.10309278350515,66.38655462184873,0.1,0.1,68,79
67,70.10309278350515,66.38655462184873,0.0,0.0,68,79
68,71.1340206185567,67.22689075630252,0.1111111111111111,0.1,69,80
69,72.16494845360825,68.0672268907563,0.1111111111111111,0.1,70,81
70,73.19587628865979,68.90756302521008,0.1111111111111111,0.1,71,82
71,74.22680412371135,69.74789915966386,0.1,0.1,72,83
72,74.22680412371135,69.74789915966386,0.0,0.0,72,83
73,74.22680412371135,69.74789915966386,0.0,0.0,72,83
74,75.25773195876289,70.58823529411765,0.1,0.1,73,84
75,76.28865979381443,71.42857142857143,0.1111111111111111,0.1,74,85
76,77.31958762886599,72.26890756302521,0.1,0.1,75,86
77,78.35051546391753,73.10924369747899,0.1111111111111111,0.1,76,87
78,79.38144329896907,73.94957983193278,0.1,0.1,77,88
79,79.38144329896907,74.78991596638656,0.0,0.1,77,89
80,79.38144329896907,74.78991596638656,0.0,0.0,77,89
81,79.38144329896907,75.63025210084034,0.0,0.1,77,90
82,79.38144329896907,76.47058823529412,0.0,0.1,77,91
83,80.41237113402062,77.31092436974791,0.1111111111111111,0.1111111111111111,78,92
84,81.44329896907216,78.15126050420169,0.1111111111111111,0.1,79,93
85,81.44329896907216,78.15126050420169,0.0,0.0,79,93
86,81.44329896907216,78.15126050420169,0.0,0.0,79,93
87,81.44329896907216,78.15126050420169,0.0,0.0,79,93
88,81.44329896907216,78.15126050420169,0.0,0.0,79,93
89,81.44329896907216,78.15126050420169,0.0,0.0,79,93
90,81.44329896907216,78.15126050420169,0.0,0.0,79,93
91,81.44329896907216,78.15126050420169,0.0,0.0,79,93
92,81.44329896907216,78.15126050420169,0.0,0.0,79,93
93,81.44329896907216,78.15126050420169,0.0,0.0,79,93
94,82.4742268041237,78.99159663865547,0.1111111111111111,0.1,80,94
95,83.50515463917526,79.83193277310924,0.1,0.1,81,95
96,84.5360824742268,80.67226890756302,0.1,0.1,82,96
97,84.5360824742268,80.67226890756302,0.0,0.0,82,96
98,84.5360824742268,80.67226890756302,0.0,0.0,82,96
99,84.5360824742268,81.5126050420168,0.0,0.1,82,97
