agent_id,start_pos,path
0,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
1,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
2,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
3,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
4,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
5,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
6,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
7,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
8,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
9,JUNCTION-75,"['JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58', 'JUNCTION-59', 'JUNCTION-60', 'JUNCTION-61', 'JUNCTION-62', 'JUNCTION-63', 'JUNCTION-64', 'JUNCTION-65', 'JUNCTION-66', 'JUNCTION-68', 'JUNCTION-67', 'JUNCTION-69', 'JUNCTION-70', 'JUNCTION-71', 'JUNCTION-72', 'JUNCTION-73', 'JUNCTION-74', 'JUNCTION-73', 'JUNCTION-72', 'JUNCTION-71', 'JUNCTION-70', 'JUNCTION-75', 'JUNCTION-70', 'JUNCTION-69', 'JUNCTION-67', 'JUNCTION-1600', 'JUNCTION-67', 'JUNCTION-55', 'JUNCTION-56', 'JUNCTION-57', 'JUNCTION-58']"
